"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LLVMFuzzerTestOneInput","ares__addrinfo2addrttl","/src/c-ares/test/ares-test-fuzz-name.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",6,6,197,197,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2addrttl(const ares_addrinfo *, int, int, ares_addrttl *, ares_addr6ttl *, int *) -> int","const ares_addrinfo * ai, int family, int req_naddrttls, ares_addrttl * addrttls, ares_addr6ttl * addr6ttls, int * naddrttls","int","int"
"LLVMFuzzerTestOneInput","ares__addrinfo2addrttl","/src/c-ares/test/ares-test-fuzz-name.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",10,10,197,197,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2addrttl(const ares_addrinfo *, int, int, ares_addrttl *, ares_addr6ttl *, int *) -> int","const ares_addrinfo * ai, int family, int req_naddrttls, ares_addrttl * addrttls, ares_addr6ttl * addr6ttls, int * naddrttls","int","int"
"LLVMFuzzerTestOneInput","ares__addrinfo2addrttl","/src/c-ares/test/ares-test-fuzz.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",6,6,197,197,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2addrttl(const ares_addrinfo *, int, int, ares_addrttl *, ares_addr6ttl *, int *) -> int","const ares_addrinfo * ai, int family, int req_naddrttls, ares_addrttl * addrttls, ares_addr6ttl * addr6ttls, int * naddrttls","int","int"
"LLVMFuzzerTestOneInput","ares__addrinfo2addrttl","/src/c-ares/test/ares-test-fuzz.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",10,10,197,197,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2addrttl(const ares_addrinfo *, int, int, ares_addrttl *, ares_addr6ttl *, int *) -> int","const ares_addrinfo * ai, int family, int req_naddrttls, ares_addrttl * addrttls, ares_addr6ttl * addr6ttls, int * naddrttls","int","int"
"LLVMFuzzerTestOneInput","memcpy","/src/c-ares/test/ares-test-fuzz-name.c","/usr/include/string.h",6,6,43,43,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"LLVMFuzzerTestOneInput","memcpy","/src/c-ares/test/ares-test-fuzz-name.c","/usr/include/string.h",10,10,43,43,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"LLVMFuzzerTestOneInput","memcpy","/src/c-ares/test/ares-test-fuzz.c","/usr/include/string.h",6,6,43,43,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"LLVMFuzzerTestOneInput","memcpy","/src/c-ares/test/ares-test-fuzz.c","/usr/include/string.h",10,10,43,43,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"LLVMFuzzerTestOneInput","ares__addrinfo2hostent","/src/c-ares/test/ares-test-fuzz-name.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",6,6,46,46,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2hostent(const ares_addrinfo *, int, hostent **) -> int","const ares_addrinfo * ai, int family, hostent ** host","int","int"
"LLVMFuzzerTestOneInput","ares__addrinfo2hostent","/src/c-ares/test/ares-test-fuzz-name.c","/src/c-ares/src/lib/ares__addrinfo2hostent.c",10,10,46,46,"LLVMFuzzerTestOneInput(const unsigned char *, unsigned long) -> int","const unsigned char * data, unsigned long size","int","int","ares__addrinfo2hostent(const ares_addrinfo *, int, hostent **) -> int","const ares_addrinfo * ai, int family, hostent ** host","int","int"
