Line	Count	Source	
1			
2		/*	
3		* Copyright (c) 2004 by Internet Systems Consortium, Inc. ("ISC")	
4		* Copyright (c) 1996,1999 by Internet Software Consortium.	
5		*	
6		* Permission to use, copy, modify, and distribute this software for any	
7		* purpose with or without fee is hereby granted, provided that the above	
8		* copyright notice and this permission notice appear in all copies.	
9		*	
10		* THE SOFTWARE IS PROVIDED "AS IS" AND ISC DISCLAIMS ALL WARRANTIES	
11		* WITH REGARD TO THIS SOFTWARE INCLUDING ALL IMPLIED WARRANTIES OF	
12		* MERCHANTABILITY AND FITNESS.  IN NO EVENT SHALL ISC BE LIABLE FOR	
13		* ANY SPECIAL, DIRECT, INDIRECT, OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES	
14		* WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR PROFITS, WHETHER IN AN	
15		* ACTION OF CONTRACT, NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT	
16		* OF OR IN CONNECTION WITH THE USE OR PERFORMANCE OF THIS SOFTWARE.	
17		*/	
18			
19		#include "ares_setup.h"	
20			
21		#ifdef HAVE_NETINET_IN_H	
22		#  include <netinet/in.h>	
23		#endif	
24		#ifdef HAVE_ARPA_INET_H	
25		#  include <arpa/inet.h>	
26		#endif	
27			
28		#include "ares_nameser.h"	
29			
30		#include "ares.h"	
31		#include "ares_ipv6.h"	
32		#include "ares_nowarn.h"	
33		#include "ares_inet_net_pton.h"	
34			
35			
36		const struct ares_in6_addr ares_in6addr_any = { { { 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 } } };	
37			
38			
39		#ifndef HAVE_INET_NET_PTON	
40			
41		/*	
42		* static int	
43		* inet_net_pton_ipv4(src, dst, size)	
44		*      convert IPv4 network number from presentation to network format.	
45		*      accepts hex octets, hex strings, decimal octets, and /CIDR.	
46		*      "size" is in bytes and describes "dst".	
47		* return:	
48		*      number of bits, either imputed classfully or specified with /CIDR,	
49		*      or -1 if some failure occurred (check errno).  ENOENT means it was	
50		*      not an IPv4 network specification.	
51		* note:	
52		*      network byte order assumed.  this means 192.5.5.240/28 has	
53		*      0b11110000 in its fourth octet.	
54		* note:	
55		*      On Windows we store the error in the thread errno, not	
56		*      in the winsock error code. This is to avoid loosing the	
57		*      actual last winsock error. So use macro ERRNO to fetch the	
58		*      errno this funtion sets when returning (-1), not SOCKERRNO.	
59		* author:	
60		*      Paul Vixie (ISC), June 1996	
61		*/	
62		static int	
63		inet_net_pton_ipv4(const char *src, unsigned char *dst, size_t size)	
64	0	{	
65	0	static const char xdigits[] = "0123456789abcdef";	
66	0	static const char digits[] = "0123456789";	
67	0	int n, ch, tmp = 0, dirty, bits;	
68	0	const unsigned char *odst = dst;	
69			
70	0	ch = *src++;	
71	0	if (ch == '0'&&(src[0] == 'x'||src[0] == 'X')	
72	0	&&ISASCII(src[1])	
73	0	&&ISXDIGIT(src[1])){	
74		/* Hexadecimal: Eat nybble string. */	
75	0	if (!size)	
76	0	goto emsgsize;	
77	0	dirty = 0;	
78	0	src++;  /* skip x or X. */	
79	0	while ((ch = *src++) != '\0'&&ISASCII(ch) &&ISXDIGIT(ch)){	
80	0	if (ISUPPER(ch))	
81	0	ch =tolower(ch);	
82	0	n = aresx_sztosi(strchr(xdigits, ch) - xdigits);	
83	0	if (dirty == 0)	
84	0	tmp = n;	
85	0	else	
86	0	tmp = (tmp << 4) | n;	
87	0	if (++dirty == 2){	
88	0	if (!size--)	
89	0	goto emsgsize;	
90	0	*dst++ = (unsigned char) tmp;	
91	0	dirty = 0;	
92	0	}	
