Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		*	
4		* Permission to use, copy, modify, and distribute this	
5		* software and its documentation for any purpose and without	
6		* fee is hereby granted, provided that the above copyright	
7		* notice appear in all copies and that both that copyright	
8		* notice and this permission notice appear in supporting	
9		* documentation, and that the name of M.I.T. not be used in	
10		* advertising or publicity pertaining to distribution of the	
11		* software without specific, written prior permission.	
12		* M.I.T. makes no representations about the suitability of	
13		* this software for any purpose.  It is provided "as is"	
14		* without express or implied warranty.	
15		*/	
16			
17		#include "ares_setup.h"	
18			
19		#ifdef HAVE_NETINET_IN_H	
20		#  include <netinet/in.h>	
21		#endif	
22			
23		#include "ares_nameser.h"	
24			
25		#include "ares.h"	
26		#include "ares_dns.h"	
27		#include "ares_private.h"	
28			
29			
30		/* Header format, from RFC 1035:	
31		*                                  1  1  1  1  1  1	
32		*    0  1  2  3  4  5  6  7  8  9  0  1  2  3  4  5	
33		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
34		*  |                      ID                       |	
35		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
36		*  |QR|   Opcode  |AA|TC|RD|RA|   Z    |   RCODE   |	
37		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
38		*  |                    QDCOUNT                    |	
39		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
40		*  |                    ANCOUNT                    |	
41		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
42		*  |                    NSCOUNT                    |	
43		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
44		*  |                    ARCOUNT                    |	
45		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
46		*	
47		* AA, TC, RA, and RCODE are only set in responses.  Brief description	
48		* of the remaining fields:	
49		*      ID      Identifier to match responses with queries	
50		*      QR      Query (0) or response (1)	
51		*      Opcode  For our purposes, always O_QUERY	
52		*      RD      Recursion desired	
53		*      Z       Reserved (zero)	
54		*      QDCOUNT Number of queries	
55		*      ANCOUNT Number of answers	
56		*      NSCOUNT Number of name server records	
57		*      ARCOUNT Number of additional records	
58		*	
59		* Question format, from RFC 1035:	
60		*                                  1  1  1  1  1  1	
61		*    0  1  2  3  4  5  6  7  8  9  0  1  2  3  4  5	
62		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
63		*  |                                               |	
64		*  /                     QNAME                     /	
65		*  /                                               /	
66		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
67		*  |                     QTYPE                     |	
68		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
69		*  |                     QCLASS                    |	
70		*  +--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+--+	
71		*	
72		* The query name is encoded as a series of labels, each represented	
73		* as a one-byte length (maximum 63) followed by the text of the	
74		* label.  The list is terminated by a label of length zero (which can	
75		* be thought of as the root domain).	
76		*/	
77			
78		int ares_create_query(const char *name, int dnsclass, int type,	
79		unsigned short id, int rd, unsigned char **bufp,	
80		int *buflenp, int max_udp_size)	
81	168	{	
82	168	size_t len;	
83	168	unsigned char *q;	
84	168	const char *p;	
85	168	size_t buflen;	
86	168	unsigned char *buf;	
87			
88		/* Set our results early, in case we bail out early with an error. */	
89	168	*buflenp = 0;	
90	168	*bufp = NULL;	
91			
92		/* Per RFC 7686, reject queries for ".onion" domain names with NXDOMAIN. */	
93	168	if (ares__is_onion_domain(name))	
94	3	return ARES_ENOTFOUND;	
95			
96		/* Allocate a memory area for the maximum size this packet might need. +2	
97		* is for the length byte and zero termination if no dots or ecscaping is	
98		* used.	
99		*/	
100	165	len = strlen(name) + 2 + HFIXEDSZ + QFIXEDSZ +	
101	165	(max_udp_size ?EDNSFIXEDSZ: 0);	
102	165	buf = ares_malloc(len);	
103	165	if (!buf)	
104	0	returnARES_ENOMEM;	
105			
106		/* Set up the header. */	
107	165	q = buf;	
108	165	memset(q, 0, HFIXEDSZ);	
109	165	DNS_HEADER_SET_QID(q, id);	
110	165	DNS_HEADER_SET_OPCODE(q, O_QUERY);	
111	165	if (rd) {	
112	165	DNS_HEADER_SET_RD(q, 1);	
113	165	}	
114	0	else{	
115	0	DNS_HEADER_SET_RD(q, 0);	
116	0	}	
117	165	DNS_HEADER_SET_QDCOUNT(q, 1);	
118			
119	165	if (max_udp_size){	
120	0	DNS_HEADER_SET_ARCOUNT(q, 1);	
121	0	}	
122			
123		/* A name of "." is a screw case for the loop below, so adjust it. */	
124	165	if (strcmp(name, ".") == 0)	
125	1	name++;	
126			
127		/* Start writing out the name after the header. */	
128	165	q += HFIXEDSZ;	
129	183	while (*name)	
130	181	{	
131	181	if (*name == '.') {	
132	5	ares_free (buf);	
133	5	return ARES_EBADNAME;	
134	5	}	
135			
136		/* Count the number of bytes in this label. */	
137	176	len = 0;	
