Line	Count	Source	
1			
2			
3		/* Copyright 1998 by the Massachusetts Institute of Technology.	
4		*	
5		* Permission to use, copy, modify, and distribute this	
6		* software and its documentation for any purpose and without	
7		* fee is hereby granted, provided that the above copyright	
8		* notice appear in all copies and that both that copyright	
9		* notice and this permission notice appear in supporting	
10		* documentation, and that the name of M.I.T. not be used in	
11		* advertising or publicity pertaining to distribution of the	
12		* software without specific, written prior permission.	
13		* M.I.T. makes no representations about the suitability of	
14		* this software for any purpose.  It is provided "as is"	
15		* without express or implied warranty.	
16		*/	
17			
18		#include "ares_setup.h"	
19		#include "ares_strdup.h"	
20		#include "ares.h"	
21		#include "ares_private.h"	
22			
23		char *ares_strdup(const char *s1)	
24	68	{	
25	68	size_t sz;	
26	68	char * s2;	
27			
28	68	if(s1) {	
29	66	sz = strlen(s1);	
30	66	if(sz < (size_t)-1) {	
31	66	sz++;	
32	66	if(sz < ((size_t)-1)) {	
33	66	s2 = ares_malloc(sz);	
34	66	if(s2) {	
35	66	memcpy(s2, s1, sz);	
36	66	return s2;	
37	66	}	
38	66	}	
39	66	}	
40	66	}	
41	2	return (char *)NULL;	
42	68	}	


