Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		*	
4		* Permission to use, copy, modify, and distribute this	
5		* software and its documentation for any purpose and without	
6		* fee is hereby granted, provided that the above copyright	
7		* notice appear in all copies and that both that copyright	
8		* notice and this permission notice appear in supporting	
9		* documentation, and that the name of M.I.T. not be used in	
10		* advertising or publicity pertaining to distribution of the	
11		* software without specific, written prior permission.	
12		* M.I.T. makes no representations about the suitability of	
13		* this software for any purpose.  It is provided "as is"	
14		* without express or implied warranty.	
15		*/	
16			
17		#include "ares_setup.h"	
18			
19		#ifdef HAVE_NETINET_IN_H	
20		#  include <netinet/in.h>	
21		#endif	
22			
23		#include "ares_nameser.h"	
24			
25		#include "ares.h"	
26		#include "ares_private.h" /* for the memdebug */	
27			
28		/* Simply decodes a length-encoded character string. The first byte of the	
29		* input is the length of the string to be returned and the bytes thereafter	
30		* are the characters of the string. The returned result will be NULL	
31		* terminated.	
32		*/	
33		int ares_expand_string(const unsigned char *encoded,	
34		const unsigned char *abuf,	
35		int alen,	
36		unsigned char **s,	
37		long *enclen)	
38	290	{	
39	290	unsigned char *q;	
40	290	union {	
41	290	ares_ssize_t sig;	
42	290	size_t uns;	
43	290	} elen;	
44			
45	290	if (encoded == abuf+alen)	
46	0	returnARES_EBADSTR;	
47			
48	290	elen.uns = *encoded;	
49	290	if (encoded+elen.sig+1 > abuf+alen)	
50	49	return ARES_EBADSTR;	
51			
52	241	encoded++;	
53			
54	241	*s = ares_malloc(elen.uns+1);	
55	241	if (*s == NULL)	
56	0	returnARES_ENOMEM;	
57	241	q = *s;	
58	241	strncpy((char *)q, (char *)encoded, elen.uns);	
59	241	q[elen.uns] = '\0';	
60			
61	241	*s = q;	
62			
63	241	*enclen = (long)(elen.sig+1);	
64			
65	241	return ARES_SUCCESS;	
66	241	}	
67			


