Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		* Copyright 2005 Dominick Meglio	
4		* Copyright (C) 2019 by Andrew Selivanov	
5		*	
6		* Permission to use, copy, modify, and distribute this	
7		* software and its documentation for any purpose and without	
8		* fee is hereby granted, provided that the above copyright	
9		* notice appear in all copies and that both that copyright	
10		* notice and this permission notice appear in supporting	
11		* documentation, and that the name of M.I.T. not be used in	
12		* advertising or publicity pertaining to distribution of the	
13		* software without specific, written prior permission.	
14		* M.I.T. makes no representations about the suitability of	
15		* this software for any purpose.  It is provided "as is"	
16		* without express or implied warranty.	
17		*/	
18			
19		#include "ares_setup.h"	
20			
21		#ifdef HAVE_NETINET_IN_H	
22		#  include <netinet/in.h>	
23		#endif	
24		#ifdef HAVE_NETDB_H	
25		#  include <netdb.h>	
26		#endif	
27		#ifdef HAVE_ARPA_INET_H	
28		#  include <arpa/inet.h>	
29		#endif	
30			
31		#include "ares_nameser.h"	
32			
33		#ifdef HAVE_STRINGS_H	
34		#  include <strings.h>	
35		#endif	
36			
37		#ifdef HAVE_LIMITS_H	
38		#  include <limits.h>	
39		#endif	
40			
41		#include "ares.h"	
42		#include "ares_dns.h"	
43		#include "ares_inet_net_pton.h"	
44		#include "ares_private.h"	
45			
46		int ares_parse_aaaa_reply(const unsigned char *abuf, int alen,	
47		struct hostent **host, struct ares_addr6ttl *addrttls,	
48		int *naddrttls)	
49	97	{	
50	97	struct ares_addrinfo ai;	
51	97	char *question_hostname = NULL;	
52	97	int status;	
53	97	int req_naddrttls = 0;	
54			
55	97	if (naddrttls)	
56	97	{	
57	97	req_naddrttls = *naddrttls;	
58	97	*naddrttls = 0;	
59	97	}	
60			
61	97	memset(&ai, 0, sizeof(ai));	
62			
63	97	status = ares__parse_into_addrinfo(abuf, alen, 0, 0, &ai);	
64	97	if (status != ARES_SUCCESS && status != ARES_ENODATA)	
65	84	{	
66	84	goto fail;	
67	84	}	
68			
69	13	if (host != NULL)	
70	13	{	
71	13	status = ares__addrinfo2hostent(&ai, AF_INET6, host);	
72	13	if (status != ARES_SUCCESS && status != ARES_ENODATA)	
73	0	{	
74	0	goto fail;	
75	0	}	
76	13	}	
77			
78	13	if (addrttls != NULL && req_naddrttls)	
79	13	{	
80	13	ares__addrinfo2addrttl(&ai, AF_INET6, req_naddrttls, NULL,	
81	13	addrttls, naddrttls);	
82	13	}	
83			
84	97	fail:	
85	97	ares__freeaddrinfo_cnames(ai.cnames);	
86	97	ares__freeaddrinfo_nodes(ai.nodes);	
87	97	ares_free(question_hostname);	
88	97	ares_free(ai.name);	
89			
90	97	return status;	
91	13	}	
92			


