Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		* Copyright (C) 2009 by Jakub Hrozek <jhrozek@redhat.com>	
4		*	
5		* Permission to use, copy, modify, and distribute this	
6		* software and its documentation for any purpose and without	
7		* fee is hereby granted, provided that the above copyright	
8		* notice appear in all copies and that both that copyright	
9		* notice and this permission notice appear in supporting	
10		* documentation, and that the name of M.I.T. not be used in	
11		* advertising or publicity pertaining to distribution of the	
12		* software without specific, written prior permission.	
13		* M.I.T. makes no representations about the suitability of	
14		* this software for any purpose.  It is provided "as is"	
15		* without express or implied warranty.	
16		*/	
17			
18		#include "ares_setup.h"	
19			
20		#ifdef HAVE_NETINET_IN_H	
21		#  include <netinet/in.h>	
22		#endif	
23		#ifdef HAVE_NETDB_H	
24		#  include <netdb.h>	
25		#endif	
26		#ifdef HAVE_ARPA_INET_H	
27		#  include <arpa/inet.h>	
28		#endif	
29			
30		#include "ares_nameser.h"	
31			
32		#include "ares.h"	
33		#include "ares_dns.h"	
34		#include "ares_data.h"	
35		#include "ares_private.h"	
36			
37		int	
38		ares_parse_srv_reply (const unsigned char *abuf, int alen,	
39		struct ares_srv_reply **srv_out)	
40	346	{	
41	346	unsigned int qdcount, ancount, i;	
42	346	const unsigned char *aptr, *vptr;	
43	346	int status, rr_type, rr_class, rr_len;	
44	346	long len;	
45	346	char *hostname = NULL, *rr_name = NULL;	
46	346	struct ares_srv_reply *srv_head = NULL;	
47	346	struct ares_srv_reply *srv_last = NULL;	
48	346	struct ares_srv_reply *srv_curr;	
49			
50		/* Set *srv_out to NULL for all failure cases. */	
51	346	*srv_out = NULL;	
52			
53		/* Give up if abuf doesn't have room for a header. */	
54	346	if (alen < HFIXEDSZ)	
55	38	return ARES_EBADRESP;	
56			
57		/* Fetch the question and answer count from the header. */	
58	308	qdcount = DNS_HEADER_QDCOUNT (abuf);	
59	308	ancount = DNS_HEADER_ANCOUNT (abuf);	
60	308	if (qdcount != 1)	
61	90	return ARES_EBADRESP;	
62	218	if (ancount == 0)	
63	4	return ARES_ENODATA;	
64			
65		/* Expand the name from the question, and skip past the question. */	
66	214	aptr = abuf + HFIXEDSZ;	
67	214	status = ares_expand_name (aptr, abuf, alen, &hostname, &len);	
68	214	if (status != ARES_SUCCESS)	
69	13	return status;	
70			
71	201	if (aptr + len + QFIXEDSZ > abuf + alen)	
72	10	{	
73	10	ares_free (hostname);	
74	10	return ARES_EBADRESP;	
75	10	}	
76	191	aptr += len + QFIXEDSZ;	
77			
78		/* Examine each answer resource record (RR) in turn. */	
79	4.97k	for (i = 0; i < ancount; i++)	
80	4.93k	{	
81		/* Decode the RR up to the data field. */	
82	4.93k	status = ares_expand_name (aptr, abuf, alen, &rr_name, &len);	
83	4.93k	if (status != ARES_SUCCESS)	
84	56	{	
85	56	break;	
86	56	}	
87	4.87k	aptr += len;	
88	4.87k	if (aptr + RRFIXEDSZ > abuf + alen)	
89	74	{	
90	74	status = ARES_EBADRESP;	
91	74	break;	
92	74	}	
93	4.80k	rr_type = DNS_RR_TYPE (aptr);	
94	4.80k	rr_class = DNS_RR_CLASS (aptr);	
95	4.80k	rr_len = DNS_RR_LEN (aptr);	
96	4.80k	aptr += RRFIXEDSZ;	
97	4.80k	if (aptr + rr_len > abuf + alen)	
98	18	{	
99	18	status = ARES_EBADRESP;	
100	18	break;	
101	18	}	
102			
103		/* Check if we are really looking at a SRV record */	
104	4.78k	if (rr_class == C_IN && rr_type == T_SRV)	
105	145	{	
106		/* parse the SRV record itself */	
107	145	if (rr_len < 6)	
108	1	{	
109	1	status = ARES_EBADRESP;	
110	1	break;	
111	1	}	
112			
113		/* Allocate storage for this SRV answer appending it to the list */	
114	144	srv_curr = ares_malloc_data(ARES_DATATYPE_SRV_REPLY);	
115	144	if (!srv_curr)	
116	0	{	
117	0	status =ARES_ENOMEM;	
118	0	break;	
119	0	}	
120	144	if (srv_last)	
121	127	{	
122	127	srv_last->next = srv_curr;	
123	127	}	
124	17	else	
125	17	{	
126	17	srv_head = srv_curr;	
127	17	}	
128	144	srv_last = srv_curr;	
129			
130	144	vptr = aptr;	
131	144	srv_curr->priority = DNS__16BIT(vptr);	
132	144	vptr += sizeof(unsigned short);	
133	144	srv_curr->weight = DNS__16BIT(vptr);	
134	144	vptr += sizeof(unsigned short);	
135	144	srv_curr->port = DNS__16BIT(vptr);	
136	144	vptr += sizeof(unsigned short);	
137			
138	144	status = ares_expand_name (vptr, abuf, alen, &srv_curr->host, &len);	
139	144	if (status != ARES_SUCCESS)	
140	3	break;	
141	144	}	
142			
143		/* Don't lose memory in the next iteration */	
144	4.78k	ares_free (rr_name);	
145	4.78k	rr_name = NULL;	
146			
147		/* Move on to the next record */	
148	4.78k	aptr += rr_len;	
149	4.78k	}	
150			
151	191	if (hostname)	
152	191	ares_free (hostname);	
153	191	if (rr_name)	
154	96	ares_free (rr_name);	
155			
156		/* clean up on error */	
157	191	if (status != ARES_SUCCESS)	
158	152	{	
159	152	if (srv_head)	
160	16	ares_free_data (srv_head);	
161	152	return status;	
162	152	}	
163			
164		/* everything looks fine, return the data */	
165	39	*srv_out = srv_head;	
166			
167	39	return ARES_SUCCESS;	
168	191	}	


