Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		* Copyright (C) 2010 Jeremy Lal <kapouer@melix.org>	
4		*	
5		* Permission to use, copy, modify, and distribute this	
6		* software and its documentation for any purpose and without	
7		* fee is hereby granted, provided that the above copyright	
8		* notice appear in all copies and that both that copyright	
9		* notice and this permission notice appear in supporting	
10		* documentation, and that the name of M.I.T. not be used in	
11		* advertising or publicity pertaining to distribution of the	
12		* software without specific, written prior permission.	
13		* M.I.T. makes no representations about the suitability of	
14		* this software for any purpose.  It is provided "as is"	
15		* without express or implied warranty.	
16		*/	
17			
18		#include "ares_setup.h"	
19			
20		#ifdef HAVE_NETINET_IN_H	
21		#  include <netinet/in.h>	
22		#endif	
23		#ifdef HAVE_NETDB_H	
24		#  include <netdb.h>	
25		#endif	
26		#ifdef HAVE_ARPA_INET_H	
27		#  include <arpa/inet.h>	
28		#endif	
29			
30		#include "ares_nameser.h"	
31			
32		#include "ares.h"	
33		#include "ares_dns.h"	
34		#include "ares_data.h"	
35		#include "ares_private.h"	
36			
37		int	
38		ares_parse_mx_reply (const unsigned char *abuf, int alen,	
39		struct ares_mx_reply **mx_out)	
40	440	{	
41	440	unsigned int qdcount, ancount, i;	
42	440	const unsigned char *aptr, *vptr;	
43	440	int status, rr_type, rr_class, rr_len;	
44	440	long len;	
45	440	char *hostname = NULL, *rr_name = NULL;	
46	440	struct ares_mx_reply *mx_head = NULL;	
47	440	struct ares_mx_reply *mx_last = NULL;	
48	440	struct ares_mx_reply *mx_curr;	
49			
50		/* Set *mx_out to NULL for all failure cases. */	
51	440	*mx_out = NULL;	
52			
53		/* Give up if abuf doesn't have room for a header. */	
54	440	if (alen < HFIXEDSZ)	
55	37	return ARES_EBADRESP;	
56			
57		/* Fetch the question and answer count from the header. */	
58	403	qdcount = DNS_HEADER_QDCOUNT (abuf);	
59	403	ancount = DNS_HEADER_ANCOUNT (abuf);	
60	403	if (qdcount != 1)	
61	16	return ARES_EBADRESP;	
62	387	if (ancount == 0)	
63	28	return ARES_ENODATA;	
64			
65		/* Expand the name from the question, and skip past the question. */	
66	359	aptr = abuf + HFIXEDSZ;	
67	359	status = ares_expand_name (aptr, abuf, alen, &hostname, &len);	
68	359	if (status != ARES_SUCCESS)	
69	29	return status;	
70			
71	330	if (aptr + len + QFIXEDSZ > abuf + alen)	
72	40	{	
73	40	ares_free (hostname);	
74	40	return ARES_EBADRESP;	
75	40	}	
76	290	aptr += len + QFIXEDSZ;	
77			
78		/* Examine each answer resource record (RR) in turn. */	
79	2.80k	for (i = 0; i < ancount; i++)	
80	2.75k	{	
81		/* Decode the RR up to the data field. */	
82	2.75k	status = ares_expand_name (aptr, abuf, alen, &rr_name, &len);	
83	2.75k	if (status != ARES_SUCCESS)	
84	148	{	
85	148	break;	
86	148	}	
87	2.60k	aptr += len;	
88	2.60k	if (aptr + RRFIXEDSZ > abuf + alen)	
89	74	{	
90	74	status = ARES_EBADRESP;	
91	74	break;	
92	74	}	
93	2.52k	rr_type = DNS_RR_TYPE (aptr);	
94	2.52k	rr_class = DNS_RR_CLASS (aptr);	
95	2.52k	rr_len = DNS_RR_LEN (aptr);	
96	2.52k	aptr += RRFIXEDSZ;	
97	2.52k	if (aptr + rr_len > abuf + alen)	
98	13	{	
99	13	status = ARES_EBADRESP;	
100	13	break;	
101	13	}	
102			
103		/* Check if we are really looking at a MX record */	
104	2.51k	if (rr_class == C_IN && rr_type == T_MX)	
105	178	{	
106		/* parse the MX record itself */	
107	178	if (rr_len < 2)	
108	2	{	
109	2	status = ARES_EBADRESP;	
110	2	break;	
111	2	}	
112			
113		/* Allocate storage for this MX answer appending it to the list */	
114	176	mx_curr = ares_malloc_data(ARES_DATATYPE_MX_REPLY);	
115	176	if (!mx_curr)	
116	0	{	
117	0	status =ARES_ENOMEM;	
118	0	break;	
119	0	}	
120	176	if (mx_last)	
121	161	{	
122	161	mx_last->next = mx_curr;	
123	161	}	
124	15	else	
125	15	{	
126	15	mx_head = mx_curr;	
127	15	}	
128	176	mx_last = mx_curr;	
129			
130	176	vptr = aptr;	
131	176	mx_curr->priority = DNS__16BIT(vptr);	
132	176	vptr += sizeof(unsigned short);	
133			
134	176	status = ares_expand_name (vptr, abuf, alen, &mx_curr->host, &len);	
135	176	if (status != ARES_SUCCESS)	
136	3	break;	
137	176	}	
138			
139		/* Don't lose memory in the next iteration */	
140	2.51k	ares_free (rr_name);	
141	2.51k	rr_name = NULL;	
142			
143		/* Move on to the next record */	
144	2.51k	aptr += rr_len;	
145	2.51k	}	
146			
147	290	if (hostname)	
148	290	ares_free (hostname);	
149	290	if (rr_name)	
150	92	ares_free (rr_name);	
151			
152		/* clean up on error */	
153	290	if (status != ARES_SUCCESS)	
154	240	{	
155	240	if (mx_head)	
156	14	ares_free_data (mx_head);	
157	240	return status;	
158	240	}	
159			
160		/* everything looks fine, return the data */	
161	50	*mx_out = mx_head;	
162			
163	50	return ARES_SUCCESS;	
164	290	}	


