Line	Count	Source	
1			
2		/* Copyright 1998 by the Massachusetts Institute of Technology.	
3		* Copyright (C) 2009 by Jakub Hrozek <jhrozek@redhat.com>	
4		*	
5		* Permission to use, copy, modify, and distribute this	
6		* software and its documentation for any purpose and without	
7		* fee is hereby granted, provided that the above copyright	
8		* notice appear in all copies and that both that copyright	
9		* notice and this permission notice appear in supporting	
10		* documentation, and that the name of M.I.T. not be used in	
11		* advertising or publicity pertaining to distribution of the	
12		* software without specific, written prior permission.	
13		* M.I.T. makes no representations about the suitability of	
14		* this software for any purpose.  It is provided "as is"	
15		* without express or implied warranty.	
16		*/	
17			
18		#include "ares_setup.h"	
19			
20		#ifdef HAVE_NETINET_IN_H	
21		#  include <netinet/in.h>	
22		#endif	
23		#ifdef HAVE_NETDB_H	
24		#  include <netdb.h>	
25		#endif	
26		#ifdef HAVE_ARPA_INET_H	
27		#  include <arpa/inet.h>	
28		#endif	
29			
30		#include "ares_nameser.h"	
31			
32		#include "ares.h"	
33		#include "ares_dns.h"	
34		#include "ares_data.h"	
35		#include "ares_private.h"	
36			
37		int	
38		ares_parse_srv_reply (const unsigned char *abuf, int alen,	
39		struct ares_srv_reply **srv_out)	
40	35	{	
41	35	unsigned int qdcount, ancount, i;	
42	35	const unsigned char *aptr, *vptr;	
43	35	int status, rr_type, rr_class, rr_len;	
44	35	long len;	
45	35	char *hostname = NULL, *rr_name = NULL;	
46	35	struct ares_srv_reply *srv_head = NULL;	
47	35	struct ares_srv_reply *srv_last = NULL;	
48	35	struct ares_srv_reply *srv_curr;	
49			
50		/* Set *srv_out to NULL for all failure cases. */	
51	35	*srv_out = NULL;	
52			
53		/* Give up if abuf doesn't have room for a header. */	
54	35	if (alen < HFIXEDSZ)	
55	0	returnARES_EBADRESP;	
56			
57		/* Fetch the question and answer count from the header. */	
58	35	qdcount = DNS_HEADER_QDCOUNT (abuf);	
59	35	ancount = DNS_HEADER_ANCOUNT (abuf);	
60	35	if (qdcount != 1)	
61	2	return ARES_EBADRESP;	
62	33	if (ancount == 0)	
63	1	return ARES_ENODATA;	
64			
65		/* Expand the name from the question, and skip past the question. */	
66	32	aptr = abuf + HFIXEDSZ;	
67	32	status = ares_expand_name (aptr, abuf, alen, &hostname, &len);	
68	32	if (status != ARES_SUCCESS)	
69	7	return status;	
70			
71	25	if (aptr + len + QFIXEDSZ > abuf + alen)	
72	1	{	
73	1	ares_free (hostname);	
74	1	return ARES_EBADRESP;	
75	1	}	
76	24	aptr += len + QFIXEDSZ;	
77			
78		/* Examine each answer resource record (RR) in turn. */	
79	167	for (i = 0; i < ancount; i++)	
80	164	{	
81		/* Decode the RR up to the data field. */	
82	164	status = ares_expand_name (aptr, abuf, alen, &rr_name, &len);	
83	164	if (status != ARES_SUCCESS)	
84	9	{	
85	9	break;	
86	9	}	
87	155	aptr += len;	
88	155	if (aptr + RRFIXEDSZ > abuf + alen)	
89	5	{	
90	5	status = ARES_EBADRESP;	
91	5	break;	
92	5	}	
93	150	rr_type = DNS_RR_TYPE (aptr);	
94	150	rr_class = DNS_RR_CLASS (aptr);	
95	150	rr_len = DNS_RR_LEN (aptr);	
96	150	aptr += RRFIXEDSZ;	
97	150	if (aptr + rr_len > abuf + alen)	
98	5	{	
99	5	status = ARES_EBADRESP;	
100	5	break;	
101	5	}	
102			
103		/* Check if we are really looking at a SRV record */	
104	145	if (rr_class == C_IN && rr_type == T_SRV)	
105	6	{	
106		/* parse the SRV record itself */	
107	6	if (rr_len < 6)	
108	1	{	
109	1	status = ARES_EBADRESP;	
110	1	break;	
111	1	}	
112			
113		/* Allocate storage for this SRV answer appending it to the list */	
114	5	srv_curr = ares_malloc_data(ARES_DATATYPE_SRV_REPLY);	
115	5	if (!srv_curr)	
116	0	{	
117	0	status =ARES_ENOMEM;	
118	0	break;	
119	0	}	
120	5	if (srv_last)	
121	1	{	
122	1	srv_last->next = srv_curr;	
123	1	}	
124	4	else	
125	4	{	
126	4	srv_head = srv_curr;	
127	4	}	
128	5	srv_last = srv_curr;	
129			
130	5	vptr = aptr;	
131	5	srv_curr->priority = DNS__16BIT(vptr);	
132	5	vptr += sizeof(unsigned short);	
133	5	srv_curr->weight = DNS__16BIT(vptr);	
134	5	vptr += sizeof(unsigned short);	
135	5	srv_curr->port = DNS__16BIT(vptr);	
136	5	vptr += sizeof(unsigned short);	
137			
138	5	status = ares_expand_name (vptr, abuf, alen, &srv_curr->host, &len);	
139	5	if (status != ARES_SUCCESS)	
140	1	break;	
141	5	}	
142			
143		/* Don't lose memory in the next iteration */	
144	143	ares_free (rr_name);	
145	143	rr_name = NULL;	
146			
147		/* Move on to the next record */	
148	143	aptr += rr_len;	
149	143	}	
150			
151	24	if (hostname)	
152	24	ares_free (hostname);	
153	24	if (rr_name)	
154	12	ares_free (rr_name);	
155			
156		/* clean up on error */	
157	24	if (status != ARES_SUCCESS)	
158	21	{	
159	21	if (srv_head)	
160	3	ares_free_data (srv_head);	
161	21	return status;	
162	21	}	
163			
164		/* everything looks fine, return the data */	
165	3	*srv_out = srv_head;	
166			
167	3	return ARES_SUCCESS;	
168	24	}	


