caller,callee,caller_src,callee_src,start_body_start_line,start_body_end_line,end_body_start_line,end_body_end_line,caller_signature,caller_parameter_string,caller_return_type,caller_return_type_inferred,callee_signature,callee_parameter_string,callee_return_type,callee_return_type_inferred
cmsOpenProfileFromMem,cmsOpenProfileFromMemTHR,/src/lcms/src/cmsio0.c,/src/lcms/src/cmsio0.c,1279,1279,1255,1255,"cmsOpenProfileFromMem(const void *, cmsUInt32Number) -> cmsHPROFILE","const void * MemPtr, cmsUInt32Number dwSize",cmsHPROFILE,void *,"cmsOpenProfileFromMemTHR(cmsContext, const void *, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, const void * MemPtr, cmsUInt32Number dwSize",cmsHPROFILE,void *
cmsCloseProfile,_cmsDestroyMutex,/src/lcms/src/cmsio0.c,/src/lcms/src/cmserr.c,1566,1566,635,635,cmsCloseProfile(cmsHPROFILE) -> cmsBool,cmsHPROFILE hProfile,cmsBool,int,"_cmsDestroyMutex(cmsContext, void *) -> void","cmsContext ContextID, void * mtx",void,void
cmsCloseProfile,_cmsFree,/src/lcms/src/cmsio0.c,/src/lcms/src/cmserr.c,1566,1566,292,292,cmsCloseProfile(cmsHPROFILE) -> cmsBool,cmsHPROFILE hProfile,cmsBool,int,"_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr",void,void
cmsCloseProfile,cmsCloseIOhandler,/src/lcms/src/cmsio0.c,/src/lcms/src/cmsio0.c,1566,1566,505,505,cmsCloseProfile(cmsHPROFILE) -> cmsBool,cmsHPROFILE hProfile,cmsBool,int,cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool,cmsIOHANDLER * io,cmsBool,int
cmsCloseProfile,freeOneTag,/src/lcms/src/cmsio0.c,/src/lcms/src/cmsio0.c,1566,1566,1547,1547,cmsCloseProfile(cmsHPROFILE) -> cmsBool,cmsHPROFILE hProfile,cmsBool,int,"freeOneTag(_cmsICCPROFILE *, cmsUInt32Number) -> void","_cmsICCPROFILE * Icc, cmsUInt32Number i",void,void
cmsCloseProfile,cmsSaveProfileToFile,/src/lcms/src/cmsio0.c,/src/lcms/src/cmsio0.c,1566,1566,1486,1486,cmsCloseProfile(cmsHPROFILE) -> cmsBool,cmsHPROFILE hProfile,cmsBool,int,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName",cmsBool,int
cmsCreateTransform,cmsCreateTransformTHR,/src/lcms/src/cmsxform.c,/src/lcms/src/cmsxform.c,1325,1325,1308,1308,"cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags",cmsHTRANSFORM,void *,"cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags",cmsHTRANSFORM,void *
cmsCreateTransform,cmsGetProfileContextID,/src/lcms/src/cmsxform.c,/src/lcms/src/cmsio0.c,1325,1325,552,552,"cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags",cmsHTRANSFORM,void *,cmsGetProfileContextID(cmsHPROFILE) -> cmsContext,cmsHPROFILE hProfile,cmsContext,_cmsContext_struct *
cmsCreateTransform,cmsGetProfileContextID,/src/lcms/src/cmsxform.c,/src/lcms/src/cmsio0.c,1325,1325,552,552,"cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags",cmsHTRANSFORM,void *,cmsGetProfileContextID(cmsHPROFILE) -> cmsContext,cmsHPROFILE hProfile,cmsContext,_cmsContext_struct *
cmsCreateTransform,cmsGetProfileContextID,/src/lcms/src/cmsxform.c,/src/lcms/src/cmsio0.c,1325,1325,552,552,"cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags",cmsHTRANSFORM,void *,cmsGetProfileContextID(cmsHPROFILE) -> cmsContext,cmsHPROFILE hProfile,cmsContext,_cmsContext_struct *
