"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"DataSection","GetTable","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1096,1096,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","GetTable(cmsIT8 *) -> TABLE *","cmsIT8 * it8","TABLE *","_Table *"
"DataSection","AllocateDataSet","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1634,1634,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","AllocateDataSet(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"DataSection","SynError","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,523,523,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","SynError(cmsIT8 *, const char *) -> cmsBool","cmsIT8 * it8, const char * Txt","cmsBool","int"
"DataSection","SetData","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1676,1676,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","SetData(cmsIT8 *, int, int, const char *) -> cmsBool","cmsIT8 * it8, int nSet, int nField, const char * Val","cmsBool","int"
"DataSection","InSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,785,785,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"DataSection","SkipEOLN","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1058,1058,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","SkipEOLN(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"DataSection","StringPtr","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,409,409,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","StringPtr(string *) -> char *","string * s","char *","char *"
"DataSection","GetVal","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1068,1068,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","GetVal(cmsIT8 *, char *, cmsUInt32Number, const char *) -> cmsBool","cmsIT8 * it8, char * Buffer, cmsUInt32Number max, const char * ErrorTitle","cmsBool","int"
"DataSection","CheckEOLN","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1037,1037,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","CheckEOLN(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"DataSection","Skip","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2017,2017,1049,1049,"DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","Skip(cmsIT8 *, SYMBOL) -> void","cmsIT8 * it8, SYMBOL sy","void","void"
