"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"HeaderSection","strlen","/src/lcms/src/cmscgats.c","/usr/include/string.h",2087,2087,385,385,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"HeaderSection","strspn","/src/lcms/src/cmscgats.c","/usr/include/string.h",2087,2087,277,277,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","strspn(const char *, const char *) -> size_t","const char * __s, const char * __accept","size_t","unsigned long"
"HeaderSection","strrchr","/src/lcms/src/cmscgats.c","/usr/include/string.h",2087,2087,253,253,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","strrchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"HeaderSection","strchr","/src/lcms/src/cmscgats.c","/usr/include/string.h",2087,2087,226,226,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"HeaderSection","strncpy","/src/lcms/src/cmscgats.c","/usr/include/string.h",2087,2087,125,125,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","strncpy(char *__restrict__, const char *__restrict__, size_t) -> char *","char *__restrict__ __dest, const char *__restrict__ __src, size_t __n","char *","char *"
"HeaderSection","GetTable","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1096,1096,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","GetTable(cmsIT8 *) -> TABLE *","cmsIT8 * it8","TABLE *","_Table *"
"HeaderSection","SynError","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,523,523,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","SynError(cmsIT8 *, const char *) -> cmsBool","cmsIT8 * it8, const char * Txt","cmsBool","int"
"HeaderSection","IsAvailableOnList","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1216,1216,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","IsAvailableOnList(KEYVALUE *, const char *, const char *, KEYVALUE **) -> cmsBool","KEYVALUE * p, const char * Key, const char * Subkey, KEYVALUE ** LastPtr","cmsBool","int"
"HeaderSection","InSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,785,785,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"HeaderSection","SkipEOLN","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1058,1058,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","SkipEOLN(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"HeaderSection","StringPtr","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,409,409,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","StringPtr(string *) -> char *","string * s","char *","char *"
"HeaderSection","GetVal","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1068,1068,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","GetVal(cmsIT8 *, char *, cmsUInt32Number, const char *) -> cmsBool","cmsIT8 * it8, char * Buffer, cmsUInt32Number max, const char * ErrorTitle","cmsBool","int"
"HeaderSection","AddAvailableProperty","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1322,1322,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","AddAvailableProperty(cmsIT8 *, const char *, WRITEMODE) -> KEYVALUE *","cmsIT8 * it8, const char * Key, WRITEMODE as","KEYVALUE *","_KeyVal *"
"HeaderSection","AddAvailableSampleID","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1329,1329,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","AddAvailableSampleID(cmsIT8 *, const char *) -> KEYVALUE *","cmsIT8 * it8, const char * Key","KEYVALUE *","_KeyVal *"
"HeaderSection","AddToList","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2087,2087,1254,1254,"HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int","AddToList(cmsIT8 *, KEYVALUE **, const char *, const char *, const char *, WRITEMODE) -> KEYVALUE *","cmsIT8 * it8, KEYVALUE ** Head, const char * Key, const char * Subkey, const char * xValue, WRITEMODE WriteAs","KEYVALUE *","_KeyVal *"
