"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"InSymbol","snprintf","/src/lcms/src/cmscgats.c","/usr/include/stdio.h",785,785,354,354,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"InSymbol","fopen","/src/lcms/src/cmscgats.c","/usr/include/stdio.h",785,785,246,246,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","fopen(const char *__restrict__, const char *__restrict__) -> FILE *","const char *__restrict__ __filename, const char *__restrict__ __modes","FILE *","_IO_FILE *"
"InSymbol","SynError","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,523,523,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","SynError(cmsIT8 *, const char *) -> cmsBool","cmsIT8 * it8, const char * Txt","cmsBool","int"
"InSymbol","AllocChunk","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,1166,1166,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","AllocChunk(cmsIT8 *, cmsUInt32Number) -> void *","cmsIT8 * it8, cmsUInt32Number size","void *","void *"
"InSymbol","InSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,785,785,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"InSymbol","isseparator","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,427,427,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","isseparator(int) -> cmsBool","int c","cmsBool","int"
"InSymbol","NextCh","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,551,551,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","NextCh(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"InSymbol","StringPtr","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,409,409,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","StringPtr(string *) -> char *","string * s","char *","char *"
"InSymbol","Check","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,542,542,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","Check(cmsIT8 *, SYMBOL, const char *) -> cmsBool","cmsIT8 * it8, SYMBOL sy, const char * Err","cmsBool","int"
"InSymbol","isfirstidchar","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,448,448,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","isfirstidchar(int) -> cmsBool","int c","cmsBool","int"
"InSymbol","StringClear","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,381,381,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","StringClear(string *) -> void","string * s","void","void"
"InSymbol","isidchar","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,441,441,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","isidchar(int) -> cmsBool","int c","cmsBool","int"
"InSymbol","StringAppend","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,387,387,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","StringAppend(string *, char) -> void","string * s, char c","void","void"
"InSymbol","BinSrchKey","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,577,577,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","BinSrchKey(const char *) -> SYMBOL","const char * id","SYMBOL","(unnamed enum)"
"InSymbol","__ctype_b_loc","/src/lcms/src/cmscgats.c","/usr/include/ctype.h",785,785,79,79,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","__ctype_b_loc() -> const unsigned short **","","const unsigned short **","unsigned short **"
"InSymbol","__builtin_constant_p","/src/lcms/src/cmscgats.c","",785,785,0,0,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","__builtin_constant_p() -> int","","int","int"
"InSymbol","__ctype_toupper_loc","/src/lcms/src/cmscgats.c","/usr/include/ctype.h",785,785,83,83,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","__ctype_toupper_loc() -> const __int32_t **","","const __int32_t **","signed int **"
"InSymbol","toupper","/src/lcms/src/cmscgats.c","/usr/include/ctype.h",785,785,213,213,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","toupper(int) -> int","int __c","int","int"
"InSymbol","ReadReal","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,606,606,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","ReadReal(cmsIT8 *, cmsInt32Number) -> void","cmsIT8 * it8, cmsInt32Number inum","void","void"
"InSymbol","StringCat","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,415,415,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","StringCat(string *, const char *) -> void","string * s, const char * c","void","void"
"InSymbol","InStringSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,752,752,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","InStringSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"InSymbol","BuildAbsolutePath","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",785,785,481,481,"InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void","BuildAbsolutePath(const char *, const char *, char *, cmsUInt32Number) -> cmsBool","const char * relPath, const char * basePath, char * buffer, cmsUInt32Number MaxLen","cmsBool","int"
