"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ParseIT8","ReadType","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,2196,2196,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","ReadType(cmsIT8 *, char *) -> void","cmsIT8 * it8, char * SheetTypePtr","void","void"
"ParseIT8","InSymbol","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,785,785,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","InSymbol(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","SkipEOLN","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,1058,1058,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","SkipEOLN(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","DataFormatSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,1976,1976,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","DataFormatSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"ParseIT8","DataSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,2017,2017,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","DataSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"ParseIT8","AllocTable","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,1336,1336,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","AllocTable(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","isseparator","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,427,427,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","isseparator(int) -> cmsBool","int c","cmsBool","int"
"ParseIT8","NextCh","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,551,551,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","NextCh(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"ParseIT8","cmsIT8SetSheetType","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,1431,1431,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","cmsIT8SetSheetType(cmsHANDLE, const char *) -> cmsBool","cmsHANDLE hIT8, const char * Type","cmsBool","int"
"ParseIT8","StringPtr","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,409,409,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","StringPtr(string *) -> char *","string * s","char *","char *"
"ParseIT8","HeaderSection","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2217,2217,2087,2087,"ParseIT8(cmsIT8 *, cmsBool) -> cmsBool","cmsIT8 * it8, cmsBool nosheet","cmsBool","int","HeaderSection(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
