"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsIT8SetData","__assert_fail","/src/lcms/src/cmscgats.c","/usr/include/assert.h",2785,2785,69,69,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"cmsIT8SetData","LocateSample","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,2676,2676,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","LocateSample(cmsIT8 *, const char *) -> int","cmsIT8 * it8, const char * cSample","int","int"
"cmsIT8SetData","cmsstrcasecmp","/src/lcms/src/cmscgats.c","/src/lcms/src/cmserr.c",2785,2785,39,39,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","cmsstrcasecmp(const char *, const char *) -> int","const char * s1, const char * s2","int","int"
"cmsIT8SetData","LocatePatch","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,2634,2634,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","LocatePatch(cmsIT8 *, const char *) -> int","cmsIT8 * it8, const char * cPatch","int","int"
"cmsIT8SetData","GetTable","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,1096,1096,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","GetTable(cmsIT8 *) -> TABLE *","cmsIT8 * it8","TABLE *","_Table *"
"cmsIT8SetData","AllocateDataFormat","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,1548,1548,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","AllocateDataFormat(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"cmsIT8SetData","AllocateDataSet","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,1634,1634,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","AllocateDataSet(cmsIT8 *) -> cmsBool","cmsIT8 * it8","cmsBool","int"
"cmsIT8SetData","CookPointers","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,2300,2300,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","CookPointers(cmsIT8 *) -> void","cmsIT8 * it8","void","void"
"cmsIT8SetData","LocateEmptyPatch","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,2657,2657,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","LocateEmptyPatch(cmsIT8 *) -> int","cmsIT8 * it8","int","int"
"cmsIT8SetData","SynError","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,523,523,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","SynError(cmsIT8 *, const char *) -> cmsBool","cmsIT8 * it8, const char * Txt","cmsBool","int"
"cmsIT8SetData","SetData","/src/lcms/src/cmscgats.c","/src/lcms/src/cmscgats.c",2785,2785,1676,1676,"cmsIT8SetData(cmsHANDLE, const char *, const char *, const char *) -> cmsBool","cmsHANDLE hIT8, const char * cPatch, const char * cSample, const char * Val","cmsBool","int","SetData(cmsIT8 *, int, int, const char *) -> cmsBool","cmsIT8 * it8, int nSet, int nField, const char * Val","cmsBool","int"
