"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"AddConversion","_cmsStageAllocXYZ2Lab","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,1176,1176,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","_cmsStageAllocXYZ2Lab(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"AddConversion","_cmsStageAllocLab2XYZ","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,966,966,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","_cmsStageAllocLab2XYZ(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"AddConversion","cmsPipelineInsertStage","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,1510,1510,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"AddConversion","cmsPipelineInsertStage","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,1510,1510,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"AddConversion","cmsPipelineInsertStage","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,1510,1510,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"AddConversion","cmsPipelineInsertStage","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,1510,1510,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"AddConversion","IsEmptyLayer","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmscnvrt.c",421,421,329,329,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","IsEmptyLayer(cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsMAT3 * m, cmsVEC3 * off","cmsBool","int"
"AddConversion","cmsStageAllocMatrix","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,379,379,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"AddConversion","cmsStageAllocMatrix","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,379,379,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"AddConversion","cmsStageAllocMatrix","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",421,421,379,379,"AddConversion(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature, cmsMAT3 *, cmsVEC3 *) -> cmsBool","cmsPipeline * Result, cmsColorSpaceSignature InPCS, cmsColorSpaceSignature OutPCS, cmsMAT3 * m, cmsVEC3 * off","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
