"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"BlackPreservingKPlaneIntents","memset","/src/lcms/src/cmscnvrt.c","/usr/include/string.h",946,946,61,61,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"BlackPreservingKPlaneIntents","_cmsBuildKToneCurve","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsgmt.c",946,946,139,139,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","_cmsBuildKToneCurve(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsUInt32Number[], const cmsHPROFILE[], const cmsBool[], const cmsFloat64Number[], cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nPoints, cmsUInt32Number nProfiles, const cmsUInt32Number[] Intents, const cmsHPROFILE[] hProfiles, const cmsBool[] BPC, const cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsToneCurve *","_cms_curve_struct *"
"BlackPreservingKPlaneIntents","_cmsReasonableGridpointsByColorspace","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmspcs.c",946,946,659,659,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","_cmsReasonableGridpointsByColorspace(cmsColorSpaceSignature, cmsUInt32Number) -> cmsUInt32Number","cmsColorSpaceSignature Colorspace, cmsUInt32Number dwFlags","cmsUInt32Number","unsigned int"
"BlackPreservingKPlaneIntents","_cmsReadDevicelinkLUT","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsio1.c",946,946,705,705,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","_cmsReadDevicelinkLUT(cmsHPROFILE, cmsUInt32Number) -> cmsPipeline *","cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsPipeline *","_cmsPipeline_struct *"
"BlackPreservingKPlaneIntents","_cmsReadInputLUT","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsio1.c",946,946,309,309,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","_cmsReadInputLUT(cmsHPROFILE, cmsUInt32Number) -> cmsPipeline *","cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsPipeline *","_cmsPipeline_struct *"
"BlackPreservingKPlaneIntents","TranslateNonICCIntents","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmscnvrt.c",946,946,670,670,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","TranslateNonICCIntents(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number Intent","cmsUInt32Number","unsigned int"
"BlackPreservingKPlaneIntents","cmsGetColorSpace","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsio0.c",946,946,1065,1065,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"BlackPreservingKPlaneIntents","cmsGetDeviceClass","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmsio0.c",946,946,1077,1077,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"BlackPreservingKPlaneIntents","DefaultICCintents","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmscnvrt.c",946,946,511,511,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","DefaultICCintents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *"
"BlackPreservingKPlaneIntents","cmsPipelineAlloc","/src/lcms/src/cmscnvrt.c","/src/lcms/src/cmslut.c",946,946,1368,1368,"BlackPreservingKPlaneIntents(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
