"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsCreateGamutCheckPipeline","memset","/src/lcms/src/cmsgmt.c","/usr/include/string.h",287,287,61,61,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"_cmsCreateGamutCheckPipeline","cmsSignalError","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmserr.c",287,287,509,509,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"_cmsCreateGamutCheckPipeline","_cmsReasonableGridpointsByColorspace","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmspcs.c",287,287,659,659,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","_cmsReasonableGridpointsByColorspace(cmsColorSpaceSignature, cmsUInt32Number) -> cmsUInt32Number","cmsColorSpaceSignature Colorspace, cmsUInt32Number dwFlags","cmsUInt32Number","unsigned int"
"_cmsCreateGamutCheckPipeline","cmsGetColorSpace","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",287,287,1065,1065,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"_cmsCreateGamutCheckPipeline","cmsPipelineAlloc","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",287,287,1368,1368,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"_cmsCreateGamutCheckPipeline","cmsPipelineAlloc","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",287,287,1368,1368,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"_cmsCreateGamutCheckPipeline","cmsPipelineAlloc","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",287,287,1368,1368,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"_cmsCreateGamutCheckPipeline","cmsPipelineAlloc","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",287,287,1368,1368,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"_cmsCreateGamutCheckPipeline","cmsCreateLab4ProfileTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsvirt.c",287,287,521,521,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"_cmsCreateGamutCheckPipeline","cmsCreateTransformTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",287,287,1308,1308,"_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
