"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsDetectRGBProfileGamma","cmsGetColorSpace","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",602,602,1065,1065,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"cmsDetectRGBProfileGamma","cmsGetDeviceClass","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",602,602,1077,1077,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"cmsDetectRGBProfileGamma","cmsCreateTransformTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",602,602,1308,1308,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"cmsDetectRGBProfileGamma","cmsCloseProfile","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",602,602,1566,1566,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsDetectRGBProfileGamma","cmsDeleteTransform","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",602,602,147,147,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"cmsDetectRGBProfileGamma","cmsFreeToneCurve","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsgamma.c",602,602,906,906,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"cmsDetectRGBProfileGamma","cmsDoTransform","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",602,602,192,192,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"cmsDetectRGBProfileGamma","cmsEstimateGamma","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsgamma.c",602,602,1454,1454,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsEstimateGamma(const cmsToneCurve *, cmsFloat64Number) -> cmsFloat64Number","const cmsToneCurve * t, cmsFloat64Number Precision","cmsFloat64Number","double"
"cmsDetectRGBProfileGamma","cmsBuildTabulatedToneCurveFloat","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsgamma.c",602,602,822,822,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsBuildTabulatedToneCurveFloat(cmsContext, cmsUInt32Number, const cmsFloat32Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsFloat32Number[] values","cmsToneCurve *","_cms_curve_struct *"
"cmsDetectRGBProfileGamma","cmsBuildTabulatedToneCurveFloat","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsgamma.c",602,602,822,822,"cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double","cmsBuildTabulatedToneCurveFloat(cmsContext, cmsUInt32Number, const cmsFloat32Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsFloat32Number[] values","cmsToneCurve *","_cms_curve_struct *"
