"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsDetectTAC","cmsGetDeviceClass","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,1077,1077,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"cmsDetectTAC","cmsCreateLab4ProfileTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsvirt.c",459,459,521,521,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"cmsDetectTAC","cmsCreateTransformTHR","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",459,459,1308,1308,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"cmsDetectTAC","cmsCloseProfile","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,1566,1566,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsDetectTAC","cmsDeleteTransform","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsxform.c",459,459,147,147,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"cmsDetectTAC","cmsGetProfileContextID","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,552,552,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsDetectTAC","cmsGetProfileContextID","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,552,552,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsDetectTAC","cmsGetProfileContextID","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,552,552,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsDetectTAC","cmsGetProfileContextID","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmsio0.c",459,459,552,552,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsDetectTAC","cmsFormatterForColorspaceOfProfile","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmspack.c",459,459,3842,3842,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"cmsDetectTAC","cmsSliceSpace16","/src/lcms/src/cmsgmt.c","/src/lcms/src/cmslut.c",459,459,870,870,"cmsDetectTAC(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double","cmsSliceSpace16(cmsUInt32Number, const cmsUInt32Number[], cmsSAMPLER16, void *) -> cmsBool","cmsUInt32Number nInputs, const cmsUInt32Number[] clutPoints, cmsSAMPLER16 Sampler, void * Cargo","cmsBool","int"
