"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsReadHeader","cmsSignalError","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",765,765,509,509,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"_cmsReadHeader","memmove","/src/lcms/src/cmsio0.c","/usr/include/string.h",765,765,47,47,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __n","void *","void *"
"_cmsReadHeader","_cmsDecodeDateTimeNumber","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",765,765,407,407,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsDecodeDateTimeNumber(const cmsDateTimeNumber *, tm *) -> void","const cmsDateTimeNumber * Source, tm * Dest","void","void"
"_cmsReadHeader","_cmsReadUInt32Number","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",765,765,156,156,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"_cmsReadHeader","_cmsAdjustEndianess64","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",765,765,79,79,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsAdjustEndianess64(cmsUInt64Number *, cmsUInt64Number *) -> void","cmsUInt64Number * Result, cmsUInt64Number * QWord","void","void"
"_cmsReadHeader","_cmsAdjustEndianess32","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",765,765,58,58,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsAdjustEndianess32(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number DWord","cmsUInt32Number","unsigned int"
"_cmsReadHeader","_cmsGetTagDescriptor","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",765,765,5798,5798,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_cmsGetTagDescriptor(cmsContext, cmsTagSignature) -> cmsTagDescriptor *","cmsContext ContextID, cmsTagSignature sig","cmsTagDescriptor *","struct <unnamed> *"
"_cmsReadHeader","_validatedVersion","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",765,765,723,723,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","_validatedVersion(cmsUInt32Number) -> cmsUInt32Number","cmsUInt32Number DWord","cmsUInt32Number","unsigned int"
"_cmsReadHeader","validDeviceClass","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",765,765,743,743,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","validDeviceClass(cmsProfileClassSignature) -> cmsBool","cmsProfileClassSignature cl","cmsBool","int"
"_cmsReadHeader","CompatibleTypes","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",765,765,699,699,"_cmsReadHeader(_cmsICCPROFILE *) -> cmsBool","_cmsICCPROFILE * Icc","cmsBool","int","CompatibleTypes(const cmsTagDescriptor *, const cmsTagDescriptor *) -> cmsBool","const cmsTagDescriptor * desc1, const cmsTagDescriptor * desc2","cmsBool","int"
