"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsReadRawTag","memmove","/src/lcms/src/cmsio0.c","/usr/include/string.h",1891,1891,47,47,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __n","void *","void *"
"cmsReadRawTag","_cmsUnlockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1891,1891,654,654,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","_cmsUnlockMutex(cmsContext, void *) -> void","cmsContext ContextID, void * mtx","void","void"
"cmsReadRawTag","_cmsLockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1891,1891,645,645,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","_cmsLockMutex(cmsContext, void *) -> cmsBool","cmsContext ContextID, void * mtx","cmsBool","int"
"cmsReadRawTag","_cmsWriteTypeBase","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",1891,1891,451,451,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","_cmsWriteTypeBase(cmsIOHANDLER *, cmsTagTypeSignature) -> cmsBool","cmsIOHANDLER * io, cmsTagTypeSignature sig","cmsBool","int"
"cmsReadRawTag","_cmsGetTagDescriptor","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1891,1891,5798,5798,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","_cmsGetTagDescriptor(cmsContext, cmsTagSignature) -> cmsTagDescriptor *","cmsContext ContextID, cmsTagSignature sig","cmsTagDescriptor *","struct <unnamed> *"
"cmsReadRawTag","_cmsSearchTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,598,598,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","_cmsSearchTag(_cmsICCPROFILE *, cmsTagSignature, cmsBool) -> int","_cmsICCPROFILE * Icc, cmsTagSignature sig, cmsBool lFollowLinks","int","int"
"cmsReadRawTag","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,552,552,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsReadRawTag","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,552,552,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsReadRawTag","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,552,552,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsReadRawTag","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,552,552,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsReadRawTag","cmsReadTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,1620,1620,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *"
"cmsReadRawTag","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,100,100,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,100,100,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,100,100,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromNULL","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,100,100,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromNULL(cmsContext) -> cmsIOHANDLER *","cmsContext ContextID","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,238,238,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,238,238,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsReadRawTag","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1891,1891,238,238,"cmsReadRawTag(cmsHPROFILE, cmsTagSignature, void *, cmsUInt32Number) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsTagSignature sig, void * data, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
