"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsReadTag","cmsSignalError","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1620,1620,509,509,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsReadTag","_cmsUnlockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1620,1620,654,654,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsUnlockMutex(cmsContext, void *) -> void","cmsContext ContextID, void * mtx","void","void"
"cmsReadTag","_cmsLockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1620,1620,645,645,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsLockMutex(cmsContext, void *) -> cmsBool","cmsContext ContextID, void * mtx","cmsBool","int"
"cmsReadTag","_cmsReadTypeBase","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsplugin.c",1620,1620,438,438,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsReadTypeBase(cmsIOHANDLER *) -> cmsTagTypeSignature","cmsIOHANDLER * io","cmsTagTypeSignature","(unnamed enum)"
"cmsReadTag","_cmsTagSignature2String","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1620,1620,528,528,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsTagSignature2String(char[5], cmsTagSignature) -> void","char[5] String, cmsTagSignature sig","void","void"
"cmsReadTag","_cmsGetTagDescriptor","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1620,1620,5798,5798,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsGetTagDescriptor(cmsContext, cmsTagSignature) -> cmsTagDescriptor *","cmsContext ContextID, cmsTagSignature sig","cmsTagDescriptor *","struct <unnamed> *"
"cmsReadTag","_cmsGetTagTypeHandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1620,1620,5599,5599,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsGetTagTypeHandler(cmsContext, cmsTagTypeSignature) -> cmsTagTypeHandler *","cmsContext ContextID, cmsTagTypeSignature sig","cmsTagTypeHandler *","_cms_typehandler_struct *"
"cmsReadTag","_cmsSearchTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1620,1620,598,598,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","_cmsSearchTag(_cmsICCPROFILE *, cmsTagSignature, cmsBool) -> int","_cmsICCPROFILE * Icc, cmsTagSignature sig, cmsBool lFollowLinks","int","int"
"cmsReadTag","IsTypeSupported","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1620,1620,1603,1603,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","IsTypeSupported(cmsTagDescriptor *, cmsTagTypeSignature) -> cmsBool","cmsTagDescriptor * TagDescriptor, cmsTagTypeSignature Type","cmsBool","int"
"cmsReadTag","freeOneTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1620,1620,1547,1547,"cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *","freeOneTag(_cmsICCPROFILE *, cmsUInt32Number) -> void","_cmsICCPROFILE * Icc, cmsUInt32Number i","void","void"
