"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsSaveProfileToFile","remove","/src/lcms/src/cmsio0.c","/usr/include/stdio.h",1486,1486,146,146,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","remove(const char *) -> int","const char * __filename","int","int"
"cmsSaveProfileToFile","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,552,552,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToFile","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,552,552,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToFile","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,552,552,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToFile","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,552,552,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToFile","cmsCloseIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,505,505,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"cmsSaveProfileToFile","cmsSaveProfileToIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,1430,1430,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsSaveProfileToIOhandler(cmsHPROFILE, cmsIOHANDLER *) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsIOHANDLER * io","cmsUInt32Number","unsigned int"
"cmsSaveProfileToFile","cmsOpenIOhandlerFromFile","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,373,373,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsOpenIOhandlerFromFile(cmsContext, const char *, const char *) -> cmsIOHANDLER *","cmsContext ContextID, const char * FileName, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToFile","cmsOpenIOhandlerFromFile","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,373,373,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsOpenIOhandlerFromFile(cmsContext, const char *, const char *) -> cmsIOHANDLER *","cmsContext ContextID, const char * FileName, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToFile","cmsOpenIOhandlerFromFile","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,373,373,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsOpenIOhandlerFromFile(cmsContext, const char *, const char *) -> cmsIOHANDLER *","cmsContext ContextID, const char * FileName, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToFile","cmsOpenIOhandlerFromFile","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1486,1486,373,373,"cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int","cmsOpenIOhandlerFromFile(cmsContext, const char *, const char *) -> cmsIOHANDLER *","cmsContext ContextID, const char * FileName, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
