"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsSaveProfileToMem","__assert_fail","/src/lcms/src/cmsio0.c","/usr/include/assert.h",1520,1520,69,69,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,552,552,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,552,552,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,552,552,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,552,552,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsOpenIOhandlerFromMem","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,238,238,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsOpenIOhandlerFromMem(cmsContext, void *, cmsUInt32Number, const char *) -> cmsIOHANDLER *","cmsContext ContextID, void * Buffer, cmsUInt32Number size, const char * AccessMode","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToMem","cmsCloseIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,505,505,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"cmsSaveProfileToMem","cmsSaveProfileToIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1520,1520,1430,1430,"cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int","cmsSaveProfileToIOhandler(cmsHPROFILE, cmsIOHANDLER *) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsIOHANDLER * io","cmsUInt32Number","unsigned int"
