"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsSaveProfileToStream","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,552,552,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToStream","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,552,552,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToStream","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,552,552,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToStream","cmsGetProfileContextID","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,552,552,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsSaveProfileToStream","cmsCloseIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,505,505,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsCloseIOhandler(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"cmsSaveProfileToStream","cmsSaveProfileToIOhandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,1430,1430,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsSaveProfileToIOhandler(cmsHPROFILE, cmsIOHANDLER *) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsIOHANDLER * io","cmsUInt32Number","unsigned int"
"cmsSaveProfileToStream","cmsOpenIOhandlerFromStream","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,472,472,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsOpenIOhandlerFromStream(cmsContext, FILE *) -> cmsIOHANDLER *","cmsContext ContextID, FILE * Stream","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToStream","cmsOpenIOhandlerFromStream","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,472,472,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsOpenIOhandlerFromStream(cmsContext, FILE *) -> cmsIOHANDLER *","cmsContext ContextID, FILE * Stream","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToStream","cmsOpenIOhandlerFromStream","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,472,472,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsOpenIOhandlerFromStream(cmsContext, FILE *) -> cmsIOHANDLER *","cmsContext ContextID, FILE * Stream","cmsIOHANDLER *","_cms_io_handler *"
"cmsSaveProfileToStream","cmsOpenIOhandlerFromStream","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1504,1504,472,472,"cmsSaveProfileToStream(cmsHPROFILE, FILE *) -> cmsBool","cmsHPROFILE hProfile, FILE * Stream","cmsBool","int","cmsOpenIOhandlerFromStream(cmsContext, FILE *) -> cmsIOHANDLER *","cmsContext ContextID, FILE * Stream","cmsIOHANDLER *","_cms_io_handler *"
