"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsWriteTag","cmsSignalError","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1773,1773,509,509,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsWriteTag","_cmsUnlockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1773,1773,654,654,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsUnlockMutex(cmsContext, void *) -> void","cmsContext ContextID, void * mtx","void","void"
"cmsWriteTag","_cmsLockMutex","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1773,1773,645,645,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsLockMutex(cmsContext, void *) -> cmsBool","cmsContext ContextID, void * mtx","cmsBool","int"
"cmsWriteTag","_cmsTagSignature2String","/src/lcms/src/cmsio0.c","/src/lcms/src/cmserr.c",1773,1773,528,528,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsTagSignature2String(char[5], cmsTagSignature) -> void","char[5] String, cmsTagSignature sig","void","void"
"cmsWriteTag","_cmsGetTagDescriptor","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1773,1773,5798,5798,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsGetTagDescriptor(cmsContext, cmsTagSignature) -> cmsTagDescriptor *","cmsContext ContextID, cmsTagSignature sig","cmsTagDescriptor *","struct <unnamed> *"
"cmsWriteTag","_cmsGetTagTypeHandler","/src/lcms/src/cmsio0.c","/src/lcms/src/cmstypes.c",1773,1773,5599,5599,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsGetTagTypeHandler(cmsContext, cmsTagTypeSignature) -> cmsTagTypeHandler *","cmsContext ContextID, cmsTagTypeSignature sig","cmsTagTypeHandler *","_cms_typehandler_struct *"
"cmsWriteTag","_cmsSearchTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1773,1773,598,598,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsSearchTag(_cmsICCPROFILE *, cmsTagSignature, cmsBool) -> int","_cmsICCPROFILE * Icc, cmsTagSignature sig, cmsBool lFollowLinks","int","int"
"cmsWriteTag","_cmsNewTag","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1773,1773,660,660,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsNewTag(_cmsICCPROFILE *, cmsTagSignature, int *) -> cmsBool","_cmsICCPROFILE * Icc, cmsTagSignature sig, int * NewPos","cmsBool","int"
"cmsWriteTag","_cmsDeleteTagByPos","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1773,1773,629,629,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","_cmsDeleteTagByPos(_cmsICCPROFILE *, int) -> void","_cmsICCPROFILE * Icc, int i","void","void"
"cmsWriteTag","cmsGetProfileVersion","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1773,1773,1131,1131,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","cmsGetProfileVersion(cmsHPROFILE) -> cmsFloat64Number","cmsHPROFILE hProfile","cmsFloat64Number","double"
"cmsWriteTag","IsTypeSupported","/src/lcms/src/cmsio0.c","/src/lcms/src/cmsio0.c",1773,1773,1603,1603,"cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int","IsTypeSupported(cmsTagDescriptor *, cmsTagTypeSignature) -> cmsBool","cmsTagDescriptor * TagDescriptor, cmsTagTypeSignature Type","cmsBool","int"
