"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"BuildRGBInputMatrixShaper","_cmsStageAllocXYZ2Lab","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1176,1176,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","_cmsStageAllocXYZ2Lab(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"BuildRGBInputMatrixShaper","cmsPipelineAlloc","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1368,1368,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"BuildRGBInputMatrixShaper","cmsPipelineAlloc","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1368,1368,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"BuildRGBInputMatrixShaper","cmsPipelineAlloc","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1368,1368,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"BuildRGBInputMatrixShaper","cmsPipelineAlloc","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1368,1368,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"BuildRGBInputMatrixShaper","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1510,1510,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"BuildRGBInputMatrixShaper","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1510,1510,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"BuildRGBInputMatrixShaper","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1510,1510,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"BuildRGBInputMatrixShaper","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1510,1510,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"BuildRGBInputMatrixShaper","cmsPipelineFree","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,1417,1417,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"BuildRGBInputMatrixShaper","cmsGetPCS","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",210,210,1053,1053,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsGetPCS(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"BuildRGBInputMatrixShaper","cmsStageAllocMatrix","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",210,210,379,379,"BuildRGBInputMatrixShaper(cmsHPROFILE) -> cmsPipeline *","cmsHPROFILE hProfile","cmsPipeline *","_cmsPipeline_struct *","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
