"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ChangeInterpolationToTrilinear","_cmsSetInterpolationRoutine","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsintrp.c",518,518,85,85,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","_cmsSetInterpolationRoutine(cmsContext, cmsInterpParams *) -> cmsBool","cmsContext ContextID, cmsInterpParams * p","cmsBool","int"
"ChangeInterpolationToTrilinear","cmsStageType","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1219,1219,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"ChangeInterpolationToTrilinear","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1637,1637,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1637,1637,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1637,1637,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1637,1637,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsStageNext","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1234,1234,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsStageNext","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1234,1234,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsStageNext","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1234,1234,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"ChangeInterpolationToTrilinear","cmsStageNext","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",518,518,1234,1234,"ChangeInterpolationToTrilinear(cmsPipeline *) -> void","cmsPipeline * Lut","void","void","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
