"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsReadFloatOutputTag","_cmsStageNormalizeToXyzFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1112,1112,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeToXyzFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeToLabFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1092,1092,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeToLabFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeFromXyzFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1075,1075,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeFromXyzFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","_cmsStageNormalizeFromLabFloat","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1053,1053,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","_cmsStageNormalizeFromLabFloat(cmsContext) -> cmsStage *","cmsContext ContextID","cmsStage *","_cmsStage_struct *"
"_cmsReadFloatOutputTag","cmsGetColorSpace","/src/lcms/src/cmsio1.c","/src/lcms/src/cmsio0.c",539,539,1065,1065,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1510,1510,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1510,1510,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1510,1510,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"_cmsReadFloatOutputTag","cmsPipelineInsertStage","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1510,1510,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"_cmsReadFloatOutputTag","cmsPipelineFree","/src/lcms/src/cmsio1.c","/src/lcms/src/cmslut.c",539,539,1417,1417,"_cmsReadFloatOutputTag(cmsHPROFILE, cmsTagSignature) -> cmsPipeline *","cmsHPROFILE hProfile, cmsTagSignature tagFloat","cmsPipeline *","_cmsPipeline_struct *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
