"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsMD5computeID","memset","/src/lcms/src/cmsmd5.c","/usr/include/string.h",257,257,61,61,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsMD5computeID","memmove","/src/lcms/src/cmsmd5.c","/usr/include/string.h",257,257,47,47,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __n","void *","void *"
"cmsMD5computeID","_cmsFree","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmserr.c",257,257,292,292,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"cmsMD5computeID","_cmsMalloc","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmserr.c",257,257,264,264,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"cmsMD5computeID","cmsMD5finish","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsmd5.c",257,257,215,215,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsMD5finish(cmsProfileID *, cmsHANDLE) -> void","cmsProfileID * ProfileID, cmsHANDLE Handle","void","void"
"cmsMD5computeID","cmsMD5add","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsmd5.c",257,257,172,172,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsMD5add(cmsHANDLE, const cmsUInt8Number *, cmsUInt32Number) -> void","cmsHANDLE Handle, const cmsUInt8Number * buf, cmsUInt32Number len","void","void"
"cmsMD5computeID","cmsMD5alloc","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsmd5.c",257,257,154,154,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsMD5alloc(cmsContext) -> cmsHANDLE","cmsContext ContextID","cmsHANDLE","void *"
"cmsMD5computeID","__assert_fail","/src/lcms/src/cmsmd5.c","/usr/include/assert.h",257,257,69,69,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"cmsMD5computeID","cmsGetProfileContextID","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsio0.c",257,257,552,552,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsMD5computeID","cmsGetProfileContextID","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsio0.c",257,257,552,552,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsMD5computeID","cmsGetProfileContextID","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsio0.c",257,257,552,552,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsMD5computeID","cmsGetProfileContextID","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsio0.c",257,257,552,552,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"cmsMD5computeID","cmsSaveProfileToMem","/src/lcms/src/cmsmd5.c","/src/lcms/src/cmsio0.c",257,257,1520,1520,"cmsMD5computeID(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int","cmsSaveProfileToMem(cmsHPROFILE, void *, cmsUInt32Number *) -> cmsBool","cmsHPROFILE hProfile, void * MemPtr, cmsUInt32Number * BytesNeeded","cmsBool","int"
