"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"FixWhiteMisalignment","_cmsEndPointsBySpace","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspcs.c",564,564,707,707,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","_cmsEndPointsBySpace(cmsColorSpaceSignature, cmsUInt16Number **, cmsUInt16Number **, cmsUInt32Number *) -> cmsBool","cmsColorSpaceSignature Space, cmsUInt16Number ** White, cmsUInt16Number ** Black, cmsUInt32Number * nOutputs","cmsBool","int"
"FixWhiteMisalignment","_cmsStageGetPtrToCurveSet","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",564,564,159,159,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","_cmsStageGetPtrToCurveSet(const cmsStage *) -> cmsToneCurve **","const cmsStage * mpe","cmsToneCurve **","_cms_curve_struct **"
"FixWhiteMisalignment","cmsFreeToneCurve","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,906,906,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"FixWhiteMisalignment","cmsEvalToneCurve16","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,1426,1426,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsEvalToneCurve16(const cmsToneCurve *, cmsUInt16Number) -> cmsUInt16Number","const cmsToneCurve * Curve, cmsUInt16Number v","cmsUInt16Number","unsigned short"
"FixWhiteMisalignment","cmsReverseToneCurve","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,1127,1127,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsReverseToneCurve(const cmsToneCurve *) -> cmsToneCurve *","const cmsToneCurve * InGamma","cmsToneCurve *","_cms_curve_struct *"
"FixWhiteMisalignment","cmsReverseToneCurve","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,1127,1127,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsReverseToneCurve(const cmsToneCurve *) -> cmsToneCurve *","const cmsToneCurve * InGamma","cmsToneCurve *","_cms_curve_struct *"
"FixWhiteMisalignment","cmsReverseToneCurve","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,1127,1127,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsReverseToneCurve(const cmsToneCurve *) -> cmsToneCurve *","const cmsToneCurve * InGamma","cmsToneCurve *","_cms_curve_struct *"
"FixWhiteMisalignment","cmsReverseToneCurve","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsgamma.c",564,564,1127,1127,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsReverseToneCurve(const cmsToneCurve *) -> cmsToneCurve *","const cmsToneCurve * InGamma","cmsToneCurve *","_cms_curve_struct *"
"FixWhiteMisalignment","cmsPipelineEval16","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",564,564,1438,1438,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsPipelineEval16(const cmsUInt16Number[], cmsUInt16Number[], const cmsPipeline *) -> void","const cmsUInt16Number[] In, cmsUInt16Number[] Out, const cmsPipeline * lut","void","void"
"FixWhiteMisalignment","cmsPipelineCheckAndRetreiveStages","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",564,564,110,110,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","cmsPipelineCheckAndRetreiveStages(const cmsPipeline *, cmsUInt32Number) -> cmsBool","const cmsPipeline * Lut, cmsUInt32Number n","cmsBool","int"
"FixWhiteMisalignment","WhitesAreEqual","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsopt.c",564,564,549,549,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","WhitesAreEqual(cmsUInt32Number, cmsUInt16Number[], cmsUInt16Number[]) -> cmsBool","cmsUInt32Number n, cmsUInt16Number[] White1, cmsUInt16Number[] White2","cmsBool","int"
"FixWhiteMisalignment","PatchLUT","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsopt.c",564,564,470,470,"FixWhiteMisalignment(cmsPipeline *, cmsColorSpaceSignature, cmsColorSpaceSignature) -> cmsBool","cmsPipeline * Lut, cmsColorSpaceSignature EntryColorSpace, cmsColorSpaceSignature ExitColorSpace","cmsBool","int","PatchLUT(cmsStage *, cmsUInt16Number[], cmsUInt16Number[], cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsStage * CLUT, cmsUInt16Number[] At, cmsUInt16Number[] Value, cmsUInt32Number nChannelsOut, cmsUInt32Number nChannelsIn","cmsBool","int"
