"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OptimizeByComputingLinearization","memset","/src/lcms/src/cmsopt.c","/usr/include/string.h",1034,1034,61,61,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"OptimizeByComputingLinearization","_cmsQuickSaturateWord","/src/lcms/src/cmsopt.c","/src/lcms/src/lcms2_internal.h",1034,1034,188,188,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsQuickSaturateWord(cmsFloat64Number) -> cmsUInt16Number","cmsFloat64Number d","cmsUInt16Number","unsigned short"
"OptimizeByComputingLinearization","_cmsPipelineSetOptimizationParameters","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1034,1034,1665,1665,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsPipelineSetOptimizationParameters(cmsPipeline *, _cmsPipelineEval16Fn, void *, _cmsFreeUserDataFn, _cmsDupUserDataFn) -> void","cmsPipeline * Lut, _cmsPipelineEval16Fn Eval16, void * PrivateData, _cmsFreeUserDataFn FreePrivateDataFn, _cmsDupUserDataFn DupPrivateDataFn","void","void"
"OptimizeByComputingLinearization","_cmsFormatterIs8bit","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspack.c",1034,1034,3834,3834,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsFormatterIs8bit(cmsUInt32Number) -> cmsBool","cmsUInt32Number Type","cmsBool","int"
"OptimizeByComputingLinearization","_cmsFormatterIsFloat","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspack.c",1034,1034,3828,3828,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsFormatterIsFloat(cmsUInt32Number) -> cmsBool","cmsUInt32Number Type","cmsBool","int"
"OptimizeByComputingLinearization","_cmsReasonableGridpointsByColorspace","/src/lcms/src/cmsopt.c","/src/lcms/src/cmspcs.c",1034,1034,659,659,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsReasonableGridpointsByColorspace(cmsColorSpaceSignature, cmsUInt32Number) -> cmsUInt32Number","cmsColorSpaceSignature Colorspace, cmsUInt32Number dwFlags","cmsUInt32Number","unsigned int"
"OptimizeByComputingLinearization","_cmsStageGetPtrToCurveSet","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1034,1034,159,159,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsStageGetPtrToCurveSet(const cmsStage *) -> cmsToneCurve **","const cmsStage * mpe","cmsToneCurve **","_cms_curve_struct **"
"OptimizeByComputingLinearization","cmsPipelineAlloc","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1034,1034,1368,1368,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"OptimizeByComputingLinearization","cmsPipelineAlloc","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1034,1034,1368,1368,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"OptimizeByComputingLinearization","cmsPipelineAlloc","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1034,1034,1368,1368,"OptimizeByComputingLinearization(cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsPipeline ** Lut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
