"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_MultiplyMatrix","_cmsMAT3per","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsmtrx.c",188,188,114,114,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","_cmsMAT3per(cmsMAT3 *, const cmsMAT3 *, const cmsMAT3 *) -> void","cmsMAT3 * r, const cmsMAT3 * a, const cmsMAT3 * b","void","void"
"_MultiplyMatrix","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,379,379,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"_MultiplyMatrix","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,379,379,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"_MultiplyMatrix","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,379,379,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"_MultiplyMatrix","cmsStageAllocMatrix","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,379,379,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageAllocMatrix(cmsContext, cmsUInt32Number, cmsUInt32Number, const cmsFloat64Number *, const cmsFloat64Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number Rows, cmsUInt32Number Cols, const cmsFloat64Number * Matrix, const cmsFloat64Number * Offset","cmsStage *","_cmsStage_struct *"
"_MultiplyMatrix","cmsStageData","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,1224,1224,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageData(const cmsStage *) -> void *","const cmsStage * mpe","void *","void *"
"_MultiplyMatrix","cmsStageOutputChannels","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,1214,1214,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageOutputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"_MultiplyMatrix","cmsStageInputChannels","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",188,188,1209,1209,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","cmsStageInputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"_MultiplyMatrix","_RemoveElement","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsopt.c",188,188,109,109,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","_RemoveElement(cmsStage **) -> void","cmsStage ** head","void","void"
"_MultiplyMatrix","isFloatMatrixIdentity","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsopt.c",188,188,173,173,"_MultiplyMatrix(cmsPipeline *) -> cmsBool","cmsPipeline * Lut","cmsBool","int","isFloatMatrixIdentity(const cmsMAT3 *) -> cmsBool","const cmsMAT3 * a","cmsBool","int"
