"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_cmsOptimizePipeline","_cmsPipelineSetOptimizationParameters","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1665,1665,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsPipelineSetOptimizationParameters(cmsPipeline *, _cmsPipelineEval16Fn, void *, _cmsFreeUserDataFn, _cmsDupUserDataFn) -> void","cmsPipeline * Lut, _cmsPipelineEval16Fn Eval16, void * PrivateData, _cmsFreeUserDataFn FreePrivateDataFn, _cmsDupUserDataFn DupPrivateDataFn","void","void"
"_cmsOptimizePipeline","_cmsContextGetClientChunk","/src/lcms/src/cmsopt.c","/src/lcms/src/cmsplugin.c",1899,1899,764,764,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","_cmsContextGetClientChunk(cmsContext, _cmsMemoryClient) -> void *","cmsContext ContextID, _cmsMemoryClient mc","void *","void *"
"_cmsOptimizePipeline","cmsStageType","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1219,1219,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"_cmsOptimizePipeline","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1637,1637,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1637,1637,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1637,1637,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsPipelineGetPtrToFirstStage","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1637,1637,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsPipelineGetPtrToFirstStage(const cmsPipeline *) -> cmsStage *","const cmsPipeline * lut","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1234,1234,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1234,1234,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
"_cmsOptimizePipeline","cmsStageNext","/src/lcms/src/cmsopt.c","/src/lcms/src/cmslut.c",1899,1899,1234,1234,"_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int","cmsStageNext(const cmsStage *) -> cmsStage *","const cmsStage * mpe","cmsStage *","_cmsStage_struct *"
