"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateContext","memset","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,61,61,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsCreateContext","memset","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,61,61,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsCreateContext","memset","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,61,61,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsCreateContext","memset","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,61,61,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsCreateContext","memcpy","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,43,43,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"cmsCreateContext","memcpy","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,43,43,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"cmsCreateContext","memcpy","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,43,43,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"cmsCreateContext","memcpy","/src/lcms/src/cmsplugin.c","/usr/include/string.h",841,841,43,43,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __n","void *","void *"
"cmsCreateContext","_cmsMalloc","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,264,264,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"cmsCreateContext","_cmsMalloc","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,264,264,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"cmsCreateContext","_cmsMalloc","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,264,264,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"cmsCreateContext","_cmsMalloc","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,264,264,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"cmsCreateContext","_cmsAllocParallelizationPluginChunk","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,668,668,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsAllocParallelizationPluginChunk(_cmsContext_struct *, const _cmsContext_struct *) -> void","_cmsContext_struct * ctx, const _cmsContext_struct * src","void","void"
"cmsCreateContext","_cmsAllocParallelizationPluginChunk","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,668,668,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsAllocParallelizationPluginChunk(_cmsContext_struct *, const _cmsContext_struct *) -> void","_cmsContext_struct * ctx, const _cmsContext_struct * src","void","void"
"cmsCreateContext","_cmsAllocParallelizationPluginChunk","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,668,668,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsAllocParallelizationPluginChunk(_cmsContext_struct *, const _cmsContext_struct *) -> void","_cmsContext_struct * ctx, const _cmsContext_struct * src","void","void"
"cmsCreateContext","_cmsAllocParallelizationPluginChunk","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",841,841,668,668,"cmsCreateContext(void *, void *) -> cmsContext","void * Plugin, void * UserData","cmsContext","_cmsContext_struct *","_cmsAllocParallelizationPluginChunk(_cmsContext_struct *, const _cmsContext_struct *) -> void","_cmsContext_struct * ctx, const _cmsContext_struct * src","void","void"
