"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsPluginTHR","cmsSignalError","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",563,563,509,509,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsPluginTHR","_cmsRegisterParallelizationPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",563,563,682,682,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterParallelizationPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterMutexPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",563,563,597,597,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterMutexPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterTransformPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsxform.c",563,563,708,708,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterTransformPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterOptimizationPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsopt.c",563,563,1867,1867,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterOptimizationPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterMultiProcessElementPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",563,563,5592,5592,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterMultiProcessElementPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterTagPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",563,563,5773,5773,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterTagPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterTagTypePlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",563,563,5587,5587,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterTagTypePlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterFormattersPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmspack.c",563,563,3776,3776,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterFormattersPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterParametricCurvesPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsgamma.c",563,563,127,127,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterParametricCurvesPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterInterpPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsintrp.c",563,563,67,67,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterInterpPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterMemHandlerPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",563,563,230,230,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterMemHandlerPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsPluginTHR","_cmsRegisterRenderingIntentPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmscnvrt.c",563,563,1186,1186,"cmsPluginTHR(cmsContext, void *) -> cmsBool","cmsContext id, void * Plug_in","cmsBool","int","_cmsRegisterRenderingIntentPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
