"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsUnregisterPluginsTHR","_cmsRegisterParallelizationPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",797,797,682,682,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterParallelizationPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterMutexPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",797,797,597,597,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterMutexPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterTransformPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsxform.c",797,797,708,708,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterTransformPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterOptimizationPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsopt.c",797,797,1867,1867,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterOptimizationPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterMultiProcessElementPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",797,797,5592,5592,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterMultiProcessElementPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterTagPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",797,797,5773,5773,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterTagPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterTagTypePlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmstypes.c",797,797,5587,5587,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterTagTypePlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterFormattersPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmspack.c",797,797,3776,3776,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterFormattersPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterParametricCurvesPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsgamma.c",797,797,127,127,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterParametricCurvesPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterInterpPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmsintrp.c",797,797,67,67,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterInterpPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterMemHandlerPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmserr.c",797,797,230,230,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterMemHandlerPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext ContextID, cmsPluginBase * Data","cmsBool","int"
"cmsUnregisterPluginsTHR","_cmsRegisterRenderingIntentPlugin","/src/lcms/src/cmsplugin.c","/src/lcms/src/cmscnvrt.c",797,797,1186,1186,"cmsUnregisterPluginsTHR(cmsContext) -> void","cmsContext ContextID","void","void","_cmsRegisterRenderingIntentPlugin(cmsContext, cmsPluginBase *) -> cmsBool","cmsContext id, cmsPluginBase * Data","cmsBool","int"
