"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"EmitCIEBasedDEF","snprintf","/src/lcms/src/cmsps2.c","/usr/include/stdio.h",775,775,354,354,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __maxlen, const char *__restrict__ __format","int","int"
"EmitCIEBasedDEF","_cmsIOPrintf","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsplugin.c",775,775,499,499,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","_cmsIOPrintf(cmsIOHANDLER *, const char *) -> cmsBool","cmsIOHANDLER * io, const char * frm","cmsBool","int"
"EmitCIEBasedDEF","_cmsStageGetPtrToCurveSet","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",775,775,159,159,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","_cmsStageGetPtrToCurveSet(const cmsStage *) -> cmsToneCurve **","const cmsStage * mpe","cmsToneCurve **","_cms_curve_struct **"
"EmitCIEBasedDEF","cmsStageType","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",775,775,1219,1219,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageType(const cmsStage *) -> cmsStageSignature","const cmsStage * mpe","cmsStageSignature","(unnamed enum)"
"EmitCIEBasedDEF","cmsStageOutputChannels","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",775,775,1214,1214,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageOutputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"EmitCIEBasedDEF","cmsStageInputChannels","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",775,775,1209,1209,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","cmsStageInputChannels(const cmsStage *) -> cmsUInt32Number","const cmsStage * mpe","cmsUInt32Number","unsigned int"
"EmitCIEBasedDEF","EmitWhiteBlackD50","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,366,366,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitWhiteBlackD50(cmsIOHANDLER *, cmsCIEXYZ *) -> void","cmsIOHANDLER * m, cmsCIEXYZ * BlackPoint","void","void"
"EmitCIEBasedDEF","WriteCLUT","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,660,660,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","WriteCLUT(cmsIOHANDLER *, cmsStage *, const char *, const char *, const char *, const char *, int, cmsColorSpaceSignature) -> void","cmsIOHANDLER * m, cmsStage * mpe, const char * PreMaj, const char * PostMaj, const char * PreMin, const char * PostMin, int FixWhite, cmsColorSpaceSignature ColorSpace","void","void"
"EmitCIEBasedDEF","EmitIntent","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,390,390,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitIntent(cmsIOHANDLER *, cmsUInt32Number) -> void","cmsIOHANDLER * m, cmsUInt32Number RenderingIntent","void","void"
"EmitCIEBasedDEF","EmitSafeGuardBegin","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,435,435,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitSafeGuardBegin(cmsIOHANDLER *, const char *) -> void","cmsIOHANDLER * m, const char * name","void","void"
"EmitCIEBasedDEF","EmitNGamma","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,542,542,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitNGamma(cmsIOHANDLER *, cmsUInt32Number, cmsToneCurve *[], const char *) -> void","cmsIOHANDLER * m, cmsUInt32Number n, cmsToneCurve *[] g, const char * nameprefix","void","void"
"EmitCIEBasedDEF","EmitSafeGuardEnd","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,442,442,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitSafeGuardEnd(cmsIOHANDLER *, const char *, int) -> void","cmsIOHANDLER * m, const char * name, int depth","void","void"
"EmitCIEBasedDEF","EmitLab2XYZ","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",775,775,417,417,"EmitCIEBasedDEF(cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsCIEXYZ *) -> int","cmsIOHANDLER * m, cmsPipeline * Pipeline, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint","int","int","EmitLab2XYZ(cmsIOHANDLER *) -> void","cmsIOHANDLER * m","void","void"
