"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ExtractGray2Y","_cmsQuickSaturateWord","/src/lcms/src/cmsps2.c","/src/lcms/src/lcms2_internal.h",854,854,188,188,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","_cmsQuickSaturateWord(cmsFloat64Number) -> cmsUInt16Number","cmsFloat64Number d","cmsUInt16Number","unsigned short"
"ExtractGray2Y","cmsCreateTransformTHR","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",854,854,1308,1308,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"ExtractGray2Y","cmsCloseProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",854,854,1566,1566,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"ExtractGray2Y","cmsDeleteTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",854,854,147,147,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"ExtractGray2Y","cmsDoTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",854,854,192,192,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"ExtractGray2Y","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsgamma.c",854,854,773,773,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"ExtractGray2Y","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsgamma.c",854,854,773,773,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"ExtractGray2Y","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsgamma.c",854,854,773,773,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"ExtractGray2Y","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsgamma.c",854,854,773,773,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"ExtractGray2Y","cmsCreateXYZProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsvirt.c",854,854,607,607,"ExtractGray2Y(cmsContext, cmsHPROFILE, cmsUInt32Number) -> cmsToneCurve *","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent","cmsToneCurve *","_cms_curve_struct *","cmsCreateXYZProfile() -> cmsHPROFILE","","cmsHPROFILE","void *"
