"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"GenerateCRD","_cmsIOPrintf","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsplugin.c",1493,1493,499,499,"GenerateCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * mem","cmsUInt32Number","unsigned int","_cmsIOPrintf(cmsIOHANDLER *, const char *) -> cmsBool","cmsIOHANDLER * io, const char * frm","cmsBool","int"
"GenerateCRD","cmsGetDeviceClass","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",1493,1493,1077,1077,"GenerateCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * mem","cmsUInt32Number","unsigned int","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"GenerateCRD","EmitHeader","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",1493,1493,333,333,"GenerateCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * mem","cmsUInt32Number","unsigned int","EmitHeader(cmsIOHANDLER *, const char *, cmsHPROFILE) -> void","cmsIOHANDLER * m, const char * Title, cmsHPROFILE hProfile","void","void"
"GenerateCRD","WriteNamedColorCRD","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",1493,1493,1432,1432,"GenerateCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * mem","cmsUInt32Number","unsigned int","WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int"
"GenerateCRD","WriteOutputLUT","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsps2.c",1493,1493,1298,1298,"GenerateCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsIOHANDLER *) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, cmsIOHANDLER * mem","cmsUInt32Number","unsigned int","WriteOutputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int"
"GenerateCRD","fprintf","/src/lcms/utils/psicc/psicc.c","/usr/include/stdio.h",173,173,326,326,"GenerateCRD() -> void","","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"GenerateCRD","free","/src/lcms/utils/psicc/psicc.c","/usr/include/stdlib.h",173,173,565,565,"GenerateCRD() -> void","","void","void","free(void *) -> void","void * __ptr","void","void"
"GenerateCRD","malloc","/src/lcms/utils/psicc/psicc.c","/usr/include/stdlib.h",173,173,539,539,"GenerateCRD() -> void","","void","void","malloc(size_t) -> void *","size_t __size","void *","void *"
"GenerateCRD","cmsCloseProfile","/src/lcms/utils/psicc/psicc.c","/src/lcms/src/cmsio0.c",173,173,1566,1566,"GenerateCRD() -> void","","void","void","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"GenerateCRD","cmsGetPostScriptCRD","/src/lcms/utils/psicc/psicc.c","/src/lcms/src/cmsps2.c",173,173,1567,1567,"GenerateCRD() -> void","","void","void","cmsGetPostScriptCRD(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, void *, cmsUInt32Number) -> cmsUInt32Number","cmsContext ContextID, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags, void * Buffer, cmsUInt32Number dwBufferLen","cmsUInt32Number","unsigned int"
"GenerateCRD","OpenStockProfile","/src/lcms/utils/psicc/psicc.c","/src/lcms/utils/common/vprf.c",173,173,69,69,"GenerateCRD() -> void","","void","void","OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *"
"GenerateCRD","FatalError","/src/lcms/utils/psicc/psicc.c","/src/lcms/utils/common/vprf.c",173,173,34,34,"GenerateCRD() -> void","","void","void","FatalError(const char *) -> void","const char * frm","void","void"
