"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"WriteInputLUT","cmsSignalError","/src/lcms/src/cmsps2.c","/src/lcms/src/cmserr.c",884,884,509,509,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"WriteInputLUT","_cmsOptimizePipeline","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsopt.c",884,884,1899,1899,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","_cmsOptimizePipeline(cmsContext, cmsPipeline **, cmsUInt32Number, cmsUInt32Number *, cmsUInt32Number *, cmsUInt32Number *) -> cmsBool","cmsContext ContextID, cmsPipeline ** PtrLut, cmsUInt32Number Intent, cmsUInt32Number * InputFormat, cmsUInt32Number * OutputFormat, cmsUInt32Number * dwFlags","cmsBool","int"
"WriteInputLUT","cmsCreateLab4ProfileTHR","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsvirt.c",884,884,521,521,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"WriteInputLUT","cmsCloseProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsio0.c",884,884,1566,1566,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"WriteInputLUT","cmsPipelineFree","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",884,884,1417,1417,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"WriteInputLUT","cmsDeleteTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",884,884,147,147,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"WriteInputLUT","cmsFreeToneCurve","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsgamma.c",884,884,906,906,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"WriteInputLUT","cmsDetectBlackPoint","/src/lcms/src/cmsps2.c","/src/lcms/src/cmssamp.c",884,884,191,191,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDetectBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int"
"WriteInputLUT","cmsFormatterForColorspaceOfProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmspack.c",884,884,3842,3842,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"WriteInputLUT","cmsPipelineDup","/src/lcms/src/cmsps2.c","/src/lcms/src/cmslut.c",884,884,1455,1455,"WriteInputLUT(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsPipelineDup(const cmsPipeline *) -> cmsPipeline *","const cmsPipeline * lut","cmsPipeline *","_cmsPipeline_struct *"
