"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"WriteNamedColorCRD","_cmsIOPrintf","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsplugin.c",1432,1432,499,499,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","_cmsIOPrintf(cmsIOHANDLER *, const char *) -> cmsBool","cmsIOHANDLER * io, const char * frm","cmsBool","int"
"WriteNamedColorCRD","cmsDeleteTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",1432,1432,147,147,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"WriteNamedColorCRD","cmsDoTransform","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsxform.c",1432,1432,192,192,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"WriteNamedColorCRD","cmsFormatterForColorspaceOfProfile","/src/lcms/src/cmsps2.c","/src/lcms/src/cmspack.c",1432,1432,3842,3842,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,763,763,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,763,763,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,763,763,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsGetNamedColorList","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,763,763,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"WriteNamedColorCRD","cmsNamedColorCount","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,644,644,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsNamedColorCount(const cmsNAMEDCOLORLIST *) -> cmsUInt32Number","const cmsNAMEDCOLORLIST * NamedColorList","cmsUInt32Number","unsigned int"
"WriteNamedColorCRD","cmsNamedColorInfo","/src/lcms/src/cmsps2.c","/src/lcms/src/cmsnamed.c",1432,1432,651,651,"WriteNamedColorCRD(cmsIOHANDLER *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> int","cmsIOHANDLER * m, cmsHPROFILE hNamedColor, cmsUInt32Number Intent, cmsUInt32Number dwFlags","int","int","cmsNamedColorInfo(const cmsNAMEDCOLORLIST *, cmsUInt32Number, char *, char *, char *, cmsUInt16Number *, cmsUInt16Number *) -> cmsBool","const cmsNAMEDCOLORLIST * NamedColorList, cmsUInt32Number nColor, char * Name, char * Prefix, char * Suffix, cmsUInt16Number * PCS, cmsUInt16Number * Colorant","cmsBool","int"
