"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"BlackPointAsDarkerColorant","_cmsEndPointsBySpace","/src/lcms/src/cmssamp.c","/src/lcms/src/cmspcs.c",64,64,707,707,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","_cmsEndPointsBySpace(cmsColorSpaceSignature, cmsUInt16Number **, cmsUInt16Number **, cmsUInt32Number *) -> cmsBool","cmsColorSpaceSignature Space, cmsUInt16Number ** White, cmsUInt16Number ** Black, cmsUInt32Number * nOutputs","cmsBool","int"
"BlackPointAsDarkerColorant","cmsGetColorSpace","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,1065,1065,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"BlackPointAsDarkerColorant","cmsCreateTransformTHR","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsxform.c",64,64,1308,1308,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsCreateTransformTHR(cmsContext, cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"BlackPointAsDarkerColorant","cmsCloseProfile","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,1566,1566,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"BlackPointAsDarkerColorant","cmsDeleteTransform","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsxform.c",64,64,147,147,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"BlackPointAsDarkerColorant","cmsDoTransform","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsxform.c",64,64,192,192,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"BlackPointAsDarkerColorant","cmsGetProfileContextID","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,552,552,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BlackPointAsDarkerColorant","cmsGetProfileContextID","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,552,552,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BlackPointAsDarkerColorant","cmsGetProfileContextID","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,552,552,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
"BlackPointAsDarkerColorant","cmsGetProfileContextID","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",64,64,552,552,"BlackPointAsDarkerColorant(cmsHPROFILE, cmsUInt32Number, cmsCIEXYZ *, cmsUInt32Number) -> cmsBool","cmsHPROFILE hInput, cmsUInt32Number Intent, cmsCIEXYZ * BlackPoint, cmsUInt32Number dwFlags","cmsBool","int","cmsGetProfileContextID(cmsHPROFILE) -> cmsContext","cmsHPROFILE hProfile","cmsContext","_cmsContext_struct *"
