"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsDetectDestinationBlackPoint","fabs","/src/lcms/src/cmssamp.c","/usr/include/x86_64-linux-gnu/bits/mathcalls.h",352,352,162,162,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","fabs(double) -> double","double __x","double","double"
"cmsDetectDestinationBlackPoint","cmsGetEncodedICCversion","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",352,352,1089,1089,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsGetEncodedICCversion(cmsHPROFILE) -> cmsUInt32Number","cmsHPROFILE hProfile","cmsUInt32Number","unsigned int"
"cmsDetectDestinationBlackPoint","cmsGetColorSpace","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",352,352,1065,1065,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"cmsDetectDestinationBlackPoint","cmsGetDeviceClass","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio0.c",352,352,1077,1077,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"cmsDetectDestinationBlackPoint","cmsDeleteTransform","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsxform.c",352,352,147,147,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"cmsDetectDestinationBlackPoint","cmsDoTransform","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsxform.c",352,352,192,192,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"cmsDetectDestinationBlackPoint","cmsDetectBlackPoint","/src/lcms/src/cmssamp.c","/src/lcms/src/cmssamp.c",352,352,191,191,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsDetectBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int"
"cmsDetectDestinationBlackPoint","cmsIsMatrixShaper","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio1.c",352,352,806,806,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsIsMatrixShaper(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsDetectDestinationBlackPoint","cmsIsCLUT","/src/lcms/src/cmssamp.c","/src/lcms/src/cmsio1.c",352,352,830,830,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsIsCLUT(cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number UsedDirection","cmsBool","int"
"cmsDetectDestinationBlackPoint","cmsXYZ2Lab","/src/lcms/src/cmssamp.c","/src/lcms/src/cmspcs.c",352,352,143,143,"cmsDetectDestinationBlackPoint(cmsCIEXYZ *, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsCIEXYZ * BlackPoint, cmsHPROFILE hProfile, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsBool","int","cmsXYZ2Lab(const cmsCIEXYZ *, cmsCIELab *, const cmsCIEXYZ *) -> void","const cmsCIEXYZ * WhitePoint, cmsCIELab * Lab, const cmsCIEXYZ * xyz","void","void"
