"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Read16bitTables","memset","/src/lcms/src/cmstypes.c","/usr/include/string.h",2044,2044,61,61,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"Read16bitTables","_cmsReadUInt16Array","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2044,2044,137,137,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","_cmsReadUInt16Array(cmsIOHANDLER *, cmsUInt32Number, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n, cmsUInt16Number * Array","cmsBool","int"
"Read16bitTables","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2044,2044,1510,1510,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"Read16bitTables","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2044,2044,1510,1510,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"Read16bitTables","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2044,2044,1510,1510,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"Read16bitTables","cmsPipelineInsertStage","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2044,2044,1510,1510,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"Read16bitTables","cmsFreeToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",2044,2044,906,906,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"Read16bitTables","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",2044,2044,773,773,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Read16bitTables","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",2044,2044,773,773,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
"Read16bitTables","cmsBuildTabulatedToneCurve16","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",2044,2044,773,773,"Read16bitTables(cmsContext, cmsIOHANDLER *, cmsPipeline *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, cmsIOHANDLER * io, cmsPipeline * lut, cmsUInt32Number nChannels, cmsUInt32Number nEntries","cmsBool","int","cmsBuildTabulatedToneCurve16(cmsContext, cmsUInt32Number, const cmsUInt16Number[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nEntries, const cmsUInt16Number[] Values","cmsToneCurve *","_cms_curve_struct *"
