"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ReadSegmentedCurve","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4028,4028,509,509,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"ReadSegmentedCurve","_cmsReadFloat32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4028,4028,169,169,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsReadFloat32Number(cmsIOHANDLER *, cmsFloat32Number *) -> cmsBool","cmsIOHANDLER * io, cmsFloat32Number * n","cmsBool","int"
"ReadSegmentedCurve","_cmsReadUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4028,4028,156,156,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"ReadSegmentedCurve","_cmsReadUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4028,4028,124,124,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsReadUInt16Number(cmsIOHANDLER *, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number * n","cmsBool","int"
"ReadSegmentedCurve","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4028,4028,292,292,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"ReadSegmentedCurve","_cmsCalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4028,4028,278,278,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsCalloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number num, cmsUInt32Number size","void *","void *"
"ReadSegmentedCurve","_cmsTagSignature2String","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4028,4028,528,528,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","_cmsTagSignature2String(char[5], cmsTagSignature) -> void","char[5] String, cmsTagSignature sig","void","void"
"ReadSegmentedCurve","cmsEvalToneCurveFloat","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4028,4028,1407,1407,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","cmsEvalToneCurveFloat(const cmsToneCurve *, cmsFloat32Number) -> cmsFloat32Number","const cmsToneCurve * Curve, cmsFloat32Number v","cmsFloat32Number","float"
"ReadSegmentedCurve","cmsBuildSegmentedToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4028,4028,787,787,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","cmsBuildSegmentedToneCurve(cmsContext, cmsUInt32Number, const cmsCurveSegment[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nSegments, const cmsCurveSegment[] Segments","cmsToneCurve *","_cms_curve_struct *"
"ReadSegmentedCurve","cmsBuildSegmentedToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4028,4028,787,787,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","cmsBuildSegmentedToneCurve(cmsContext, cmsUInt32Number, const cmsCurveSegment[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nSegments, const cmsCurveSegment[] Segments","cmsToneCurve *","_cms_curve_struct *"
"ReadSegmentedCurve","cmsBuildSegmentedToneCurve","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsgamma.c",4028,4028,787,787,"ReadSegmentedCurve(_cms_typehandler_struct *, cmsIOHANDLER *) -> cmsToneCurve *","_cms_typehandler_struct * self, cmsIOHANDLER * io","cmsToneCurve *","_cms_curve_struct *","cmsBuildSegmentedToneCurve(cmsContext, cmsUInt32Number, const cmsCurveSegment[]) -> cmsToneCurve *","cmsContext ContextID, cmsUInt32Number nSegments, const cmsCurveSegment[] Segments","cmsToneCurve *","_cms_curve_struct *"
