"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_Dictionary_Read","memset","/src/lcms/src/cmstypes.c","/usr/include/string.h",5234,5234,61,61,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"Type_Dictionary_Read","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",5234,5234,509,509,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"Type_Dictionary_Read","_cmsReadUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",5234,5234,156,156,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"Type_Dictionary_Read","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",5234,5234,292,292,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_Dictionary_Read","cmsDictAlloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",5234,5234,880,880,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsDictAlloc(cmsContext) -> cmsHANDLE","cmsContext ContextID","cmsHANDLE","void *"
"Type_Dictionary_Read","cmsDictAddEntry","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",5234,5234,927,927,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsDictAddEntry(cmsHANDLE, const wchar_t *, const wchar_t *, const cmsMLU *, const cmsMLU *) -> cmsBool","cmsHANDLE hDict, const wchar_t * Name, const wchar_t * Value, const cmsMLU * DisplayName, const cmsMLU * DisplayValue","cmsBool","int"
"Type_Dictionary_Read","cmsDictFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",5234,5234,891,891,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsDictFree(cmsHANDLE) -> void","cmsHANDLE hDict","void","void"
"Type_Dictionary_Read","cmsMLUfree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",5234,5234,314,314,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUfree(cmsMLU *) -> void","cmsMLU * mlu","void","void"
"Type_Dictionary_Read","AllocArray","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",5234,5234,5016,5016,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","AllocArray(cmsContext, _cmsDICarray *, cmsUInt32Number, cmsUInt32Number) -> cmsBool","cmsContext ContextID, _cmsDICarray * a, cmsUInt32Number Count, cmsUInt32Number Length","cmsBool","int"
"Type_Dictionary_Read","FreeArray","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",5234,5234,5005,5005,"Type_Dictionary_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","FreeArray(_cmsDICarray *) -> void","_cmsDICarray * a","void","void"
