"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_LUTB2A_Write","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",2943,2943,509,509,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"Type_LUTB2A_Write","_cmsWriteUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2943,2943,295,295,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt32Number(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n","cmsBool","int"
"Type_LUTB2A_Write","_cmsWriteUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2943,2943,268,268,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt16Number(cmsIOHANDLER *, cmsUInt16Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number n","cmsBool","int"
"Type_LUTB2A_Write","_cmsWriteUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",2943,2943,258,258,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt8Number(cmsIOHANDLER *, cmsUInt8Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number n","cmsBool","int"
"Type_LUTB2A_Write","cmsPipelineOutputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2943,2943,1410,1410,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineOutputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","cmsPipelineInputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2943,2943,1404,1404,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineInputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_LUTB2A_Write","cmsPipelineCheckAndRetreiveStages","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",2943,2943,110,110,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineCheckAndRetreiveStages(const cmsPipeline *, cmsUInt32Number) -> cmsBool","const cmsPipeline * Lut, cmsUInt32Number n","cmsBool","int"
"Type_LUTB2A_Write","WriteSetOfCurves","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",2943,2943,2653,2653,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","WriteSetOfCurves(_cms_typehandler_struct *, cmsIOHANDLER *, cmsTagTypeSignature, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsTagTypeSignature Type, cmsStage * mpe","cmsBool","int"
"Type_LUTB2A_Write","WriteCLUT","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",2943,2943,2706,2706,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","WriteCLUT(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt8Number, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt8Number Precision, cmsStage * mpe","cmsBool","int"
"Type_LUTB2A_Write","WriteMatrix","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",2943,2943,2616,2616,"Type_LUTB2A_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","WriteMatrix(_cms_typehandler_struct *, cmsIOHANDLER *, cmsStage *) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsStage * mpe","cmsBool","int"
