"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_MPE_Write","cmsSignalError","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4616,4616,509,509,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"Type_MPE_Write","_cmsWriteAlignment","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4616,4616,479,479,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteAlignment(cmsIOHANDLER *) -> cmsBool","cmsIOHANDLER * io","cmsBool","int"
"Type_MPE_Write","_cmsWriteUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4616,4616,295,295,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt32Number(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n","cmsBool","int"
"Type_MPE_Write","_cmsWriteUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4616,4616,268,268,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt16Number(cmsIOHANDLER *, cmsUInt16Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number n","cmsBool","int"
"Type_MPE_Write","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4616,4616,292,292,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_MPE_Write","_cmsCalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4616,4616,278,278,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsCalloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number num, cmsUInt32Number size","void *","void *"
"Type_MPE_Write","_cmsTagSignature2String","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",4616,4616,528,528,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsTagSignature2String(char[5], cmsTagSignature) -> void","char[5] String, cmsTagSignature sig","void","void"
"Type_MPE_Write","_cmsContextGetClientChunk","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",4616,4616,764,764,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsContextGetClientChunk(cmsContext, _cmsMemoryClient) -> void *","cmsContext ContextID, _cmsMemoryClient mc","void *","void *"
"Type_MPE_Write","cmsPipelineStageCount","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4616,4616,1652,1652,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineStageCount(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_MPE_Write","cmsPipelineOutputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4616,4616,1410,1410,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineOutputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_MPE_Write","cmsPipelineInputChannels","/src/lcms/src/cmstypes.c","/src/lcms/src/cmslut.c",4616,4616,1404,1404,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsPipelineInputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"Type_MPE_Write","GetHandler","/src/lcms/src/cmstypes.c","/src/lcms/src/cmstypes.c",4616,4616,99,99,"Type_MPE_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","GetHandler(cmsTagTypeSignature, _cmsTagTypeLinkedList *, _cmsTagTypeLinkedList *) -> cmsTagTypeHandler *","cmsTagTypeSignature sig, _cmsTagTypeLinkedList * PluginLinkedList, _cmsTagTypeLinkedList * DefaultLinkedList","cmsTagTypeHandler *","_cms_typehandler_struct *"
