"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_Text_Description_Read","_cmsReadUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",925,925,156,156,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt32Number(cmsIOHANDLER *, cmsUInt32Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number * n","cmsBool","int"
"Type_Text_Description_Read","_cmsReadUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",925,925,124,124,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt16Number(cmsIOHANDLER *, cmsUInt16Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number * n","cmsBool","int"
"Type_Text_Description_Read","_cmsReadUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",925,925,111,111,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsReadUInt8Number(cmsIOHANDLER *, cmsUInt8Number *) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number * n","cmsBool","int"
"Type_Text_Description_Read","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",925,925,292,292,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_Text_Description_Read","_cmsMalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",925,925,264,264,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","_cmsMalloc(cmsContext, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number size","void *","void *"
"Type_Text_Description_Read","cmsMLUfree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",925,925,314,314,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUfree(cmsMLU *) -> void","cmsMLU * mlu","void","void"
"Type_Text_Description_Read","cmsMLUalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",925,925,33,33,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUalloc(cmsContext, cmsUInt32Number) -> cmsMLU *","cmsContext ContextID, cmsUInt32Number nItems","cmsMLU *","_cms_MLU_struct *"
"Type_Text_Description_Read","cmsMLUalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",925,925,33,33,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUalloc(cmsContext, cmsUInt32Number) -> cmsMLU *","cmsContext ContextID, cmsUInt32Number nItems","cmsMLU *","_cms_MLU_struct *"
"Type_Text_Description_Read","cmsMLUalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",925,925,33,33,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUalloc(cmsContext, cmsUInt32Number) -> cmsMLU *","cmsContext ContextID, cmsUInt32Number nItems","cmsMLU *","_cms_MLU_struct *"
"Type_Text_Description_Read","cmsMLUalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",925,925,33,33,"Type_Text_Description_Read(_cms_typehandler_struct *, cmsIOHANDLER *, cmsUInt32Number *, cmsUInt32Number) -> void *","_cms_typehandler_struct * self, cmsIOHANDLER * io, cmsUInt32Number * nItems, cmsUInt32Number SizeOfTag","void *","void *","cmsMLUalloc(cmsContext, cmsUInt32Number) -> cmsMLU *","cmsContext ContextID, cmsUInt32Number nItems","cmsMLU *","_cms_MLU_struct *"
