"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Type_Text_Description_Write","memset","/src/lcms/src/cmstypes.c","/usr/include/string.h",1008,1008,61,61,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"Type_Text_Description_Write","strlen","/src/lcms/src/cmstypes.c","/usr/include/string.h",1008,1008,385,385,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","strlen(const char *) -> size_t","const char * __s","size_t","unsigned long"
"Type_Text_Description_Write","_cmsWriteUInt32Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",1008,1008,295,295,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt32Number(cmsIOHANDLER *, cmsUInt32Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt32Number n","cmsBool","int"
"Type_Text_Description_Write","_cmsWriteUInt16Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",1008,1008,268,268,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt16Number(cmsIOHANDLER *, cmsUInt16Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt16Number n","cmsBool","int"
"Type_Text_Description_Write","_cmsWriteUInt8Number","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsplugin.c",1008,1008,258,258,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsWriteUInt8Number(cmsIOHANDLER *, cmsUInt8Number) -> cmsBool","cmsIOHANDLER * io, cmsUInt8Number n","cmsBool","int"
"Type_Text_Description_Write","_cmsDupMem","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",1008,1008,301,301,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsDupMem(cmsContext, const void *, cmsUInt32Number) -> void *","cmsContext ContextID, const void * Org, cmsUInt32Number size","void *","void *"
"Type_Text_Description_Write","_cmsFree","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",1008,1008,292,292,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsFree(cmsContext, void *) -> void","cmsContext ContextID, void * Ptr","void","void"
"Type_Text_Description_Write","_cmsCalloc","/src/lcms/src/cmstypes.c","/src/lcms/src/cmserr.c",1008,1008,278,278,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","_cmsCalloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> void *","cmsContext ContextID, cmsUInt32Number num, cmsUInt32Number size","void *","void *"
"Type_Text_Description_Write","cmsMLUgetASCII","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",1008,1008,380,380,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsMLUgetASCII(const cmsMLU *, const char[3], const char[3], char *, cmsUInt32Number) -> cmsUInt32Number","const cmsMLU * mlu, const char[3] LanguageCode, const char[3] CountryCode, char * Buffer, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int"
"Type_Text_Description_Write","cmsMLUgetWide","/src/lcms/src/cmstypes.c","/src/lcms/src/cmsnamed.c",1008,1008,425,425,"Type_Text_Description_Write(_cms_typehandler_struct *, cmsIOHANDLER *, void *, cmsUInt32Number) -> cmsBool","_cms_typehandler_struct * self, cmsIOHANDLER * io, void * Ptr, cmsUInt32Number nItems","cmsBool","int","cmsMLUgetWide(const cmsMLU *, const char[3], const char[3], wchar_t *, cmsUInt32Number) -> cmsUInt32Number","const cmsMLU * mlu, const char[3] LanguageCode, const char[3] CountryCode, wchar_t * Buffer, cmsUInt32Number BufferSize","cmsUInt32Number","unsigned int"
