"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"CreateNamedColorDevicelink","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,1566,1566,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"CreateNamedColorDevicelink","cmsDoTransform","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsxform.c",945,945,192,192,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsDoTransform(cmsHTRANSFORM, const void *, void *, cmsUInt32Number) -> void","cmsHTRANSFORM Transform, const void * InputBuffer, void * OutputBuffer, cmsUInt32Number Size","void","void"
"CreateNamedColorDevicelink","cmsChannelsOfColorSpace","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmspcs.c",945,945,877,877,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsChannelsOfColorSpace(cmsColorSpaceSignature) -> cmsInt32Number","cmsColorSpaceSignature ColorSpace","cmsInt32Number","int"
"CreateNamedColorDevicelink","cmsWriteTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,1773,1773,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int"
"CreateNamedColorDevicelink","cmsCreateProfilePlaceholder","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,521,521,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsCreateProfilePlaceholder(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *"
"CreateNamedColorDevicelink","cmsSetDeviceClass","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,1083,1083,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetDeviceClass(cmsHPROFILE, cmsProfileClassSignature) -> void","cmsHPROFILE hProfile, cmsProfileClassSignature sig","void","void"
"CreateNamedColorDevicelink","cmsSetColorSpace","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,1071,1071,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetColorSpace(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature sig","void","void"
"CreateNamedColorDevicelink","cmsSetPCS","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",945,945,1059,1059,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsSetPCS(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature pcs","void","void"
"CreateNamedColorDevicelink","cmsPipelineOutputChannels","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",945,945,1410,1410,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsPipelineOutputChannels(const cmsPipeline *) -> cmsUInt32Number","const cmsPipeline * lut","cmsUInt32Number","unsigned int"
"CreateNamedColorDevicelink","cmsGetNamedColorList","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsnamed.c",945,945,763,763,"CreateNamedColorDevicelink(cmsHTRANSFORM) -> cmsHPROFILE","cmsHTRANSFORM xform","cmsHPROFILE","void *","cmsGetNamedColorList(cmsHTRANSFORM) -> cmsNAMEDCOLORLIST *","cmsHTRANSFORM xform","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
