"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1368,1368,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1368,1368,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1368,1368,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1368,1368,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateBCHSWabstractProfileTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",728,728,1566,1566,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1510,1510,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1510,1510,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1510,1510,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateBCHSWabstractProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,1510,1510,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateBCHSWabstractProfileTHR","cmsStageSampleCLut16bit","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",728,728,744,744,"cmsCreateBCHSWabstractProfileTHR(cmsContext, cmsUInt32Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsFloat64Number, cmsUInt32Number, cmsUInt32Number) -> cmsHPROFILE","cmsContext ContextID, cmsUInt32Number nLUTPoints, cmsFloat64Number Bright, cmsFloat64Number Contrast, cmsFloat64Number Hue, cmsFloat64Number Saturation, cmsUInt32Number TempSrc, cmsUInt32Number TempDest","cmsHPROFILE","void *","cmsStageSampleCLut16bit(cmsStage *, cmsSAMPLER16, void *, cmsUInt32Number) -> cmsBool","cmsStage * mpe, cmsSAMPLER16 Sampler, void * Cargo, cmsUInt32Number dwFlags","cmsBool","int"
