"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateGrayProfileTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1566,1566,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateGrayProfileTHR","cmsxyY2XYZ","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmspcs.c",227,227,102,102,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsxyY2XYZ(cmsCIEXYZ *, const cmsCIExyY *) -> void","cmsCIEXYZ * Dest, const cmsCIExyY * Source","void","void"
"cmsCreateGrayProfileTHR","cmsWriteTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1773,1773,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int"
"cmsCreateGrayProfileTHR","cmsCreateProfilePlaceholder","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,521,521,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsCreateProfilePlaceholder(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *"
"cmsCreateGrayProfileTHR","cmsSetProfileVersion","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1122,1122,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsSetProfileVersion(cmsHPROFILE, cmsFloat64Number) -> void","cmsHPROFILE hProfile, cmsFloat64Number Version","void","void"
"cmsCreateGrayProfileTHR","cmsSetDeviceClass","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1083,1083,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsSetDeviceClass(cmsHPROFILE, cmsProfileClassSignature) -> void","cmsHPROFILE hProfile, cmsProfileClassSignature sig","void","void"
"cmsCreateGrayProfileTHR","cmsSetColorSpace","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1071,1071,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsSetColorSpace(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature sig","void","void"
"cmsCreateGrayProfileTHR","cmsSetPCS","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,1059,1059,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsSetPCS(cmsHPROFILE, cmsColorSpaceSignature) -> void","cmsHPROFILE hProfile, cmsColorSpaceSignature pcs","void","void"
"cmsCreateGrayProfileTHR","cmsSetHeaderRenderingIntent","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",227,227,974,974,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","cmsSetHeaderRenderingIntent(cmsHPROFILE, cmsUInt32Number) -> void","cmsHPROFILE hProfile, cmsUInt32Number RenderingIntent","void","void"
"cmsCreateGrayProfileTHR","SetTextTags","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsvirt.c",227,227,33,33,"cmsCreateGrayProfileTHR(cmsContext, const cmsCIExyY *, const cmsToneCurve *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsToneCurve * TransferFunction","cmsHPROFILE","void *","SetTextTags(cmsHPROFILE, const wchar_t *) -> cmsBool","cmsHPROFILE hProfile, const wchar_t * Description","cmsBool","int"
