"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateInkLimitingDeviceLinkTHR","cmsSignalError","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmserr.c",393,393,509,509,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsCreateInkLimitingDeviceLinkTHR","_cmsStageAllocIdentityCurves","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,295,295,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","_cmsStageAllocIdentityCurves(cmsContext, cmsUInt32Number) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels","cmsStage *","_cmsStage_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,1368,1368,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,1368,1368,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,1368,1368,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,1368,1368,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",393,393,1566,1566,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateInkLimitingDeviceLinkTHR","cmsStageAllocCLut16bit","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,604,604,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsStageAllocCLut16bit","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,604,604,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
"cmsCreateInkLimitingDeviceLinkTHR","cmsStageAllocCLut16bit","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",393,393,604,604,"cmsCreateInkLimitingDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsFloat64Number) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsFloat64Number Limit","cmsHPROFILE","void *","cmsStageAllocCLut16bit(cmsContext, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, const cmsUInt16Number *) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nGridPoints, cmsUInt32Number inputChan, cmsUInt32Number outputChan, const cmsUInt16Number * Table","cmsStage *","_cmsStage_struct *"
