"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1368,1368,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1368,1368,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1368,1368,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1368,1368,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateLinearizationDeviceLinkTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",288,288,1566,1566,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1510,1510,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1510,1510,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1510,1510,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1510,1510,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateLinearizationDeviceLinkTHR","cmsPipelineFree","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",288,288,1417,1417,"cmsCreateLinearizationDeviceLinkTHR(cmsContext, cmsColorSpaceSignature, cmsToneCurve *const[]) -> cmsHPROFILE","cmsContext ContextID, cmsColorSpaceSignature ColorSpace, cmsToneCurve *const[] TransferFunctions","cmsHPROFILE","void *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
