"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateRGBProfileTHR","_cmsBuildRGB2XYZtransferMatrix","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmswtpnt.c",101,101,281,281,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","_cmsBuildRGB2XYZtransferMatrix(cmsMAT3 *, const cmsCIExyY *, const cmsCIExyYTRIPLE *) -> cmsBool","cmsMAT3 * r, const cmsCIExyY * WhitePt, const cmsCIExyYTRIPLE * Primrs","cmsBool","int"
"cmsCreateRGBProfileTHR","_cmsAdaptationMatrix","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmswtpnt.c",101,101,236,236,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","_cmsAdaptationMatrix(cmsMAT3 *, const cmsMAT3 *, const cmsCIEXYZ *, const cmsCIEXYZ *) -> cmsBool","cmsMAT3 * r, const cmsMAT3 * ConeMatrix, const cmsCIEXYZ * FromIll, const cmsCIEXYZ * ToIll","cmsBool","int"
"cmsCreateRGBProfileTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,1566,1566,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateRGBProfileTHR","cmsxyY2XYZ","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmspcs.c",101,101,102,102,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsxyY2XYZ(cmsCIEXYZ *, const cmsCIExyY *) -> void","cmsCIEXYZ * Dest, const cmsCIExyY * Source","void","void"
"cmsCreateRGBProfileTHR","cmsD50_XYZ","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmswtpnt.c",101,101,31,31,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsD50_XYZ() -> const cmsCIEXYZ *","","const cmsCIEXYZ *","struct <unnamed> *"
"cmsCreateRGBProfileTHR","cmsLinkTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,2049,2049,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsLinkTag(cmsHPROFILE, cmsTagSignature, cmsTagSignature) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, cmsTagSignature dest","cmsBool","int"
"cmsCreateRGBProfileTHR","cmsWriteTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,1773,1773,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int"
"cmsCreateRGBProfileTHR","cmsCreateProfilePlaceholder","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,521,521,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsCreateProfilePlaceholder(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *"
"cmsCreateRGBProfileTHR","cmsSetProfileVersion","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,1122,1122,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsSetProfileVersion(cmsHPROFILE, cmsFloat64Number) -> void","cmsHPROFILE hProfile, cmsFloat64Number Version","void","void"
"cmsCreateRGBProfileTHR","cmsSetDeviceClass","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",101,101,1083,1083,"cmsCreateRGBProfileTHR(cmsContext, const cmsCIExyY *, const cmsCIExyYTRIPLE *, cmsToneCurve *const[3]) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint, const cmsCIExyYTRIPLE * Primaries, cmsToneCurve *const[3] TransferFunction","cmsHPROFILE","void *","cmsSetDeviceClass(cmsHPROFILE, cmsProfileClassSignature) -> void","cmsHPROFILE hProfile, cmsProfileClassSignature sig","void","void"
