"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateXYZProfileTHR","_cmsStageAllocIdentityCurves","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,295,295,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","_cmsStageAllocIdentityCurves(cmsContext, cmsUInt32Number) -> cmsStage *","cmsContext ContextID, cmsUInt32Number nChannels","cmsStage *","_cmsStage_struct *"
"cmsCreateXYZProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1368,1368,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateXYZProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1368,1368,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateXYZProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1368,1368,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateXYZProfileTHR","cmsPipelineAlloc","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1368,1368,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineAlloc(cmsContext, cmsUInt32Number, cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number InputChannels, cmsUInt32Number OutputChannels","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateXYZProfileTHR","cmsCloseProfile","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",567,567,1566,1566,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"cmsCreateXYZProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1510,1510,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateXYZProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1510,1510,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> cmsBool","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateXYZProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1510,1510,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","int","int"
"cmsCreateXYZProfileTHR","cmsPipelineInsertStage","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1510,1510,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineInsertStage(cmsPipeline *, cmsStageLoc, cmsStage *) -> int","cmsPipeline * lut, cmsStageLoc loc, cmsStage * mpe","cmsBool","int"
"cmsCreateXYZProfileTHR","cmsPipelineFree","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmslut.c",567,567,1417,1417,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"cmsCreateXYZProfileTHR","cmsWriteTag","/src/lcms/src/cmsvirt.c","/src/lcms/src/cmsio0.c",567,567,1773,1773,"cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *","cmsWriteTag(cmsHPROFILE, cmsTagSignature, const void *) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig, const void * data","cmsBool","int"
