"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cmsCreateExtendedTransform","memset","/src/lcms/src/cmsxform.c","/usr/include/string.h",1106,1106,61,61,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"cmsCreateExtendedTransform","cmsSignalError","/src/lcms/src/cmsxform.c","/src/lcms/src/cmserr.c",1106,1106,509,509,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","cmsSignalError(cmsContext, cmsUInt32Number, const char *) -> void","cmsContext ContextID, cmsUInt32Number ErrorCode, const char * ErrorText","void","void"
"cmsCreateExtendedTransform","_cmsFormatterIsFloat","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspack.c",1106,1106,3828,3828,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","_cmsFormatterIsFloat(cmsUInt32Number) -> cmsBool","cmsUInt32Number Type","cmsBool","int"
"cmsCreateExtendedTransform","_cmsCreateGamutCheckPipeline","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsgmt.c",1106,1106,287,287,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","_cmsCreateGamutCheckPipeline(cmsContext, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsUInt32Number, cmsHPROFILE) -> cmsPipeline *","cmsContext ContextID, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsUInt32Number nGamutPCSposition, cmsHPROFILE hGamut","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateExtendedTransform","_cmsCompileProfileSequence","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsio1.c",1106,1106,942,942,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","_cmsCompileProfileSequence(cmsContext, cmsUInt32Number, cmsHPROFILE[]) -> cmsSEQ *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles","cmsSEQ *","struct <unnamed> *"
"cmsCreateExtendedTransform","_cmsLinkProfiles","/src/lcms/src/cmsxform.c","/src/lcms/src/cmscnvrt.c",1106,1106,1090,1090,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","_cmsLinkProfiles(cmsContext, cmsUInt32Number, cmsUInt32Number[], cmsHPROFILE[], cmsBool[], cmsFloat64Number[], cmsUInt32Number) -> cmsPipeline *","cmsContext ContextID, cmsUInt32Number nProfiles, cmsUInt32Number[] TheIntents, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsFloat64Number[] AdaptationStates, cmsUInt32Number dwFlags","cmsPipeline *","_cmsPipeline_struct *"
"cmsCreateExtendedTransform","cmsGetDeviceClass","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsio0.c",1106,1106,1077,1077,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"cmsCreateExtendedTransform","cmsPipelineFree","/src/lcms/src/cmsxform.c","/src/lcms/src/cmslut.c",1106,1106,1417,1417,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","cmsPipelineFree(cmsPipeline *) -> void","cmsPipeline * lut","void","void"
"cmsCreateExtendedTransform","cmsChannelsOfColorSpace","/src/lcms/src/cmsxform.c","/src/lcms/src/cmspcs.c",1106,1106,877,877,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","cmsChannelsOfColorSpace(cmsColorSpaceSignature) -> cmsInt32Number","cmsColorSpaceSignature ColorSpace","cmsInt32Number","int"
"cmsCreateExtendedTransform","cmsDetectRGBProfileGamma","/src/lcms/src/cmsxform.c","/src/lcms/src/cmsgmt.c",1106,1106,602,602,"cmsCreateExtendedTransform(cmsContext, cmsUInt32Number, cmsHPROFILE[], cmsBool[], cmsUInt32Number[], cmsFloat64Number[], cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsContext ContextID, cmsUInt32Number nProfiles, cmsHPROFILE[] hProfiles, cmsBool[] BPC, cmsUInt32Number[] Intents, cmsFloat64Number[] AdaptationStates, cmsHPROFILE hGamutProfile, cmsUInt32Number nGamutPCSposition, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *","cmsDetectRGBProfileGamma(cmsHPROFILE, cmsFloat64Number) -> cmsFloat64Number","cmsHPROFILE hProfile, cmsFloat64Number threshold","cmsFloat64Number","double"
