"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OpenStockProfile","cmsstrcasecmp","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmserr.c",69,69,39,39,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsstrcasecmp(const char *, const char *) -> int","const char * s1, const char * s2","int","int"
"OpenStockProfile","cmsCreateLab4ProfileTHR","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsvirt.c",69,69,521,521,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsCreateLab4ProfileTHR(cmsContext, const cmsCIExyY *) -> cmsHPROFILE","cmsContext ContextID, const cmsCIExyY * WhitePoint","cmsHPROFILE","void *"
"OpenStockProfile","cmsFreeToneCurve","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsgamma.c",69,69,906,906,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsFreeToneCurve(cmsToneCurve *) -> void","cmsToneCurve * Curve","void","void"
"OpenStockProfile","cmsWhitePointFromTemp","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmswtpnt.c",69,69,48,48,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsWhitePointFromTemp(cmsCIExyY *, cmsFloat64Number) -> cmsBool","cmsCIExyY * WhitePoint, cmsFloat64Number TempK","cmsBool","int"
"OpenStockProfile","cmsBuildGamma","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsgamma.c",69,69,899,899,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsBuildGamma(cmsContext, cmsFloat64Number) -> cmsToneCurve *","cmsContext ContextID, cmsFloat64Number Gamma","cmsToneCurve *","_cms_curve_struct *"
"OpenStockProfile","cmsBuildGamma","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsgamma.c",69,69,899,899,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsBuildGamma(cmsContext, cmsFloat64Number) -> cmsToneCurve *","cmsContext ContextID, cmsFloat64Number Gamma","cmsToneCurve *","_cms_curve_struct *"
"OpenStockProfile","cmsBuildGamma","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsgamma.c",69,69,899,899,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsBuildGamma(cmsContext, cmsFloat64Number) -> cmsToneCurve *","cmsContext ContextID, cmsFloat64Number Gamma","cmsToneCurve *","_cms_curve_struct *"
"OpenStockProfile","cmsBuildGamma","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsgamma.c",69,69,899,899,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsBuildGamma(cmsContext, cmsFloat64Number) -> cmsToneCurve *","cmsContext ContextID, cmsFloat64Number Gamma","cmsToneCurve *","_cms_curve_struct *"
"OpenStockProfile","cmsCreateXYZProfileTHR","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsvirt.c",69,69,567,567,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsCreateXYZProfileTHR(cmsContext) -> cmsHPROFILE","cmsContext ContextID","cmsHPROFILE","void *"
"OpenStockProfile","cmsOpenProfileFromFileTHR","/src/lcms/utils/common/vprf.c","/src/lcms/src/cmsio0.c",69,69,1187,1187,"OpenStockProfile(cmsContext, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * File","cmsHPROFILE","void *","cmsOpenProfileFromFileTHR(cmsContext, const char *, const char *) -> cmsHPROFILE","cmsContext ContextID, const char * lpFileName, const char * sAccess","cmsHPROFILE","void *"
