"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"main","fprintf","/src/lcms/utils/linkicc/linkicc.c","/usr/include/stdio.h",264,264,326,326,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"main","fflush","/src/lcms/utils/linkicc/linkicc.c","/usr/include/stdio.h",264,264,218,218,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","fflush(FILE *) -> int","FILE * __stream","int","int"
"main","memset","/src/lcms/utils/linkicc/linkicc.c","/usr/include/string.h",264,264,61,61,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","memset(void *, int, size_t) -> void *","void * __s, int __c, size_t __n","void *","void *"
"main","cmsGetColorSpace","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsio0.c",264,264,1065,1065,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"main","cmsCloseProfile","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsio0.c",264,264,1566,1566,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"main","cmsDeleteTransform","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsxform.c",264,264,147,147,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsDeleteTransform(cmsHTRANSFORM) -> void","cmsHTRANSFORM hTransform","void","void"
"main","cmsGetEncodedCMMversion","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmserr.c",264,264,30,30,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsGetEncodedCMMversion() -> int","","int","int"
"main","cmsSaveProfileToFile","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsio0.c",264,264,1486,1486,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsSaveProfileToFile(cmsHPROFILE, const char *) -> cmsBool","cmsHPROFILE hProfile, const char * FileName","cmsBool","int"
"main","cmsSetHeaderRenderingIntent","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsio0.c",264,264,974,974,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsSetHeaderRenderingIntent(cmsHPROFILE, cmsUInt32Number) -> void","cmsHPROFILE hProfile, cmsUInt32Number RenderingIntent","void","void"
"main","cmsCreateMultiprofileTransform","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/src/cmsxform.c",264,264,1286,1286,"main(int, char *[]) -> int","int argc, char *[] argv","int","int","cmsCreateMultiprofileTransform(cmsHPROFILE[], cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE[] hProfiles, cmsUInt32Number nProfiles, cmsUInt32Number InputFormat, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
