"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"HandleSwitches","fprintf","/src/lcms/utils/linkicc/linkicc.c","/usr/include/stdio.h",107,107,326,326,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __format","int","int"
"HandleSwitches","strcmp","/src/lcms/utils/linkicc/linkicc.c","/usr/include/string.h",107,107,137,137,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"HandleSwitches","atoi","/src/lcms/utils/linkicc/linkicc.c","/usr/include/stdlib.h",107,107,361,361,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","atoi(const char *) -> int","const char * __nptr","int","int"
"HandleSwitches","atof","/src/lcms/utils/linkicc/linkicc.c","/usr/include/x86_64-linux-gnu/bits/stdlib-float.h",107,107,25,25,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","atof(const char *) -> double","const char * __nptr","double","double"
"HandleSwitches","xgetopt","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/utils/common/xgetopt.c",107,107,43,43,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","xgetopt(int, char *[], char *) -> int","int argc, char *[] argv, char * optionS","int","int"
"HandleSwitches","FatalError","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/utils/common/vprf.c",107,107,34,34,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","FatalError(const char *) -> void","const char * frm","void","void"
"HandleSwitches","Help","/src/lcms/utils/linkicc/linkicc.c","/src/lcms/utils/linkicc/linkicc.c",107,107,50,50,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","Help(int) -> int","int level","int","int"
"HandleSwitches","strcmp","/src/lcms/utils/psicc/psicc.c","/usr/include/string.h",72,72,137,137,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"HandleSwitches","atoi","/src/lcms/utils/psicc/psicc.c","/usr/include/stdlib.h",72,72,361,361,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","atoi(const char *) -> int","const char * __nptr","int","int"
"HandleSwitches","xgetopt","/src/lcms/utils/psicc/psicc.c","/src/lcms/utils/common/xgetopt.c",72,72,43,43,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","xgetopt(int, char *[], char *) -> int","int argc, char *[] argv, char * optionS","int","int"
"HandleSwitches","FatalError","/src/lcms/utils/psicc/psicc.c","/src/lcms/utils/common/vprf.c",72,72,34,34,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","FatalError(const char *) -> void","const char * frm","void","void"
"HandleSwitches","Help","/src/lcms/utils/psicc/psicc.c","/src/lcms/utils/psicc/psicc.c",72,72,42,42,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","Help() -> void","","void","void"
"HandleSwitches","strcmp","/src/lcms/utils/transicc/transicc.c","/usr/include/string.h",144,144,137,137,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"HandleSwitches","atoi","/src/lcms/utils/transicc/transicc.c","/usr/include/stdlib.h",144,144,361,361,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","atoi(const char *) -> int","const char * __nptr","int","int"
"HandleSwitches","atof","/src/lcms/utils/transicc/transicc.c","/usr/include/x86_64-linux-gnu/bits/stdlib-float.h",144,144,25,25,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","atof(const char *) -> double","const char * __nptr","double","double"
"HandleSwitches","exit","/src/lcms/utils/transicc/transicc.c","/usr/include/stdlib.h",144,144,617,617,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","exit(int) -> void","int __status","void","void"
"HandleSwitches","cmsSetAdaptationState","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",144,144,77,77,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","cmsSetAdaptationState(cmsFloat64Number) -> cmsFloat64Number","cmsFloat64Number d","cmsFloat64Number","double"
"HandleSwitches","xgetopt","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/xgetopt.c",144,144,43,43,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","xgetopt(int, char *[], char *) -> int","int argc, char *[] argv, char * optionS","int","int"
"HandleSwitches","FatalError","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/common/vprf.c",144,144,34,34,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","FatalError(const char *) -> void","const char * frm","void","void"
"HandleSwitches","Help","/src/lcms/utils/transicc/transicc.c","/src/lcms/utils/transicc/transicc.c",144,144,93,93,"HandleSwitches(int, char *[]) -> void","int argc, char *[] argv","void","void","Help() -> void","","void","void"
