"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OpenTransforms","printf","/src/lcms/utils/transicc/transicc.c","/usr/include/stdio.h",418,418,332,332,"OpenTransforms() -> cmsBool","","cmsBool","int","printf(const char *__restrict__) -> int","const char *__restrict__ __format","int","int"
"OpenTransforms","cmsGetColorSpace","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,1065,1065,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetColorSpace(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"OpenTransforms","cmsGetDeviceClass","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,1077,1077,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetDeviceClass(cmsHPROFILE) -> cmsProfileClassSignature","cmsHPROFILE hProfile","cmsProfileClassSignature","(unnamed enum)"
"OpenTransforms","cmsCloseProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,1566,1566,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCloseProfile(cmsHPROFILE) -> cmsBool","cmsHPROFILE hProfile","cmsBool","int"
"OpenTransforms","cmsGetPCS","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,1053,1053,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsGetPCS(cmsHPROFILE) -> cmsColorSpaceSignature","cmsHPROFILE hProfile","cmsColorSpaceSignature","(unnamed enum)"
"OpenTransforms","cmsFormatterForColorspaceOfProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspack.c",418,418,3842,3842,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsFormatterForColorspaceOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsReadTag","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,1620,1620,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsReadTag(cmsHPROFILE, cmsTagSignature) -> void *","cmsHPROFILE hProfile, cmsTagSignature sig","void *","void *"
"OpenTransforms","cmsIsTag","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsio0.c",418,418,689,689,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsIsTag(cmsHPROFILE, cmsTagSignature) -> cmsBool","cmsHPROFILE hProfile, cmsTagSignature sig","cmsBool","int"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",418,418,583,583,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",418,418,583,583,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",418,418,583,583,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsDupNamedColorList","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",418,418,583,583,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsDupNamedColorList(const cmsNAMEDCOLORLIST *) -> cmsNAMEDCOLORLIST *","const cmsNAMEDCOLORLIST * v","cmsNAMEDCOLORLIST *","_cms_NAMEDCOLORLIST_struct *"
"OpenTransforms","cmsNamedColorCount","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsnamed.c",418,418,644,644,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsNamedColorCount(const cmsNAMEDCOLORLIST *) -> cmsUInt32Number","const cmsNAMEDCOLORLIST * NamedColorList","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsFormatterForPCSOfProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmspack.c",418,418,3858,3858,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsFormatterForPCSOfProfile(cmsHPROFILE, cmsUInt32Number, cmsBool) -> cmsUInt32Number","cmsHPROFILE hProfile, cmsUInt32Number nBytes, cmsBool lIsFloat","cmsUInt32Number","unsigned int"
"OpenTransforms","cmsCreateTransform","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",418,418,1325,1325,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateTransform(cmsHPROFILE, cmsUInt32Number, cmsHPROFILE, cmsUInt32Number, cmsUInt32Number, cmsUInt32Number) -> cmsHTRANSFORM","cmsHPROFILE Input, cmsUInt32Number InputFormat, cmsHPROFILE Output, cmsUInt32Number OutputFormat, cmsUInt32Number Intent, cmsUInt32Number dwFlags","cmsHTRANSFORM","void *"
"OpenTransforms","cmsCreateXYZProfile","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsvirt.c",418,418,607,607,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsCreateXYZProfile() -> cmsHPROFILE","","cmsHPROFILE","void *"
"OpenTransforms","cmsSetAlarmCodes","/src/lcms/utils/transicc/transicc.c","/src/lcms/src/cmsxform.c",418,418,113,113,"OpenTransforms() -> cmsBool","","cmsBool","int","cmsSetAlarmCodes(const cmsUInt16Number[16]) -> void","const cmsUInt16Number[16] NewAlarm","void","void"
